Sentence,Noun,Gender,Case
Häng deinen Mantel an der Garderobe auf,Mantel,Masc,Acc
Häng deinen Mantel an der Garderobe auf,Garderobe,Fem,Dat
Ich habe mir eine Lederjacke gekauft,Lederjacke,Fem,Acc
Eure Hosen trocknen gerade,Hosen,Fem,Nom
Sie sammelt Unterhosen,Unterhosen,Masc,Acc
"Ihre Strümpfe sind ungleich, einer ist weiß und der andere ist schwarz",Strümpfe,Masc,Nom
"Du solltest lieber ein Shirt mit kurzen Ärmeln nehmen, es wird warm werden",Shirt,Neut,Acc
"Du solltest lieber ein Shirt mit kurzen Ärmeln nehmen, es wird warm werden",Ärmeln,Masc,Dat
Im Wohnzimmer liegt ein schwarzes T-Shirt rum,Wohnzimmer,Neut,Dat
Im Wohnzimmer liegt ein schwarzes T-Shirt rum,T-Shirt,Neut,Nom
"Ich schaffe es nicht, Schuhe in meiner Größe zu finden",Schuhe,Masc,Acc
"Ich schaffe es nicht, Schuhe in meiner Größe zu finden",Größe,Fem,Dat
"Ich habe Stiefel mitgenommen, falls es regnet",Stiefel,Masc,Acc
"Ich werde eine Wäsche machen, hast du etwas zu waschen?",Wäsche,Fem,Acc
"Man müsste die Waschmaschine ersetzen, diese hier ist zu alt",Waschmaschine,Fem,Acc
Kannst du die Wäsche aufhängen gehen?,Wäsche,Fem,Acc
Die Wäscherei wird seit drei Generationen von derselben Familie geführt,Wäscherei,Fem,Nom
Die Wäscherei wird seit drei Generationen von derselben Familie geführt,Generationen,Fem,Dat
Die Wäscherei wird seit drei Generationen von derselben Familie geführt,Familie,Fem,Dat
Da ist ein Blutfleck auf deinem Hemd,Blutfleck,Masc,Nom
Da ist ein Blutfleck auf deinem Hemd,Hemd,Neut,Dat
Das ist Schafswolle,Schafswolle,Masc,Nom
Dieses Hemd ist aus Baumwolle,Hemd,Neut,Nom
Dieses Hemd ist aus Baumwolle,Baumwolle,Fem,Dat
Ihr wurde die Handtasche auf der Straße geklaut,Handtasche,Fem,Nom
Ihr wurde die Handtasche auf der Straße geklaut,Straße,Fem,Dat
Der Hutmacher stellt Hüte her,Hutmacher,Masc,Nom
"Du solltest deine Sonnenbrille putzen, sie ist dreckig",Sonnenbrille,Fem,Acc
"Wenn ich meine Brille nicht aufsetze, sehe ich nichts",Brille,Fem,Acc
Ich trage Kontaktlinsen,Kontaktlinsen,Neut,Acc
Nimm einen Regenschirm mit für den Fall,Regenschirm,Masc,Acc
Nimm einen Regenschirm mit für den Fall,Fall,Masc,Acc
"Der Regenmantel ist nicht wasserdicht, das Wasser kam durch",Regenmantel,Masc,Nom
"Der Regenmantel ist nicht wasserdicht, das Wasser kam durch",Wasser,Neut,Nom
Sie hat sich Lippenstift aufgetragen,Lippenstift,Masc,Acc
Der Lippenstift ist verwischt,Lippenstift,Masc,Nom
Deine Cousine ist an dem Abend im Kleid gekommen,Cousine,Fem,Nom
Deine Cousine ist an dem Abend im Kleid gekommen,Abend,Masc,Dat
Deine Cousine ist an dem Abend im Kleid gekommen,Kleid,Masc,Dat
Röcke sind altmodisch,Röcke,Masc,Nom
Jeans sind zur Zeit in der Mode für Frauen,Jeans,Fem,Nom
Jeans sind zur Zeit in der Mode für Frauen,Zeit,Fem,Dat
Jeans sind zur Zeit in der Mode für Frauen,Mode,Fem,Dat
Jeans sind zur Zeit in der Mode für Frauen,Frauen,Fem,Acc
Eine Boxershorts ist in der Maschine geblieben,Boxershorts,Neut,Nom
Eine Boxershorts ist in der Maschine geblieben,Maschine,Fem,Dat
Er hat einen Anzug für sein Vorstellungsgespräch angezogen,Anzug,Masc,Acc
Er hat einen Anzug für sein Vorstellungsgespräch angezogen,Vorstellungsgespräch,Neut,Acc
Der Wind hat seine Mütze weggeweht,Wind,Masc,Nom
Der Wind hat seine Mütze weggeweht,Mütze,Fem,Acc
Sie haben die Bademäntel aus dem Hotel geklaut,Bademäntel,Neut,Acc
Sie haben die Bademäntel aus dem Hotel geklaut,Hotel,Neut,Dat
Er hat eine marineblaue Krawatte angezogen,Krawatte,Fem,Acc
Da ist ein BH unter dem Bett,BH,Masc,Nom
Da ist ein BH unter dem Bett,Bett,Neut,Dat
Alle sind in Bikini auf diesem Strand,Strand,Masc,Dat
Haben Sie Wollmützen?,Wollmützen,Fem,Acc
Nimm ein Halstuch mit oder du könntest Halsschmerzen bekommen,Halstuch,Masc,Nom
Nimm ein Halstuch mit oder du könntest Halsschmerzen bekommen,Halsschmerzen,Fem,Acc
Zur Zeit arbeitet er auf einem Bauernhof,Zeit,Fem,Dat
Zur Zeit arbeitet er auf einem Bauernhof,Bauernhof,Masc,Dat
Die Strommasten sind wegen des Unwetters umgestürzt,Strommasten,Masc,Nom
Die Strommasten sind wegen des Unwetters umgestürzt,Unwetters,Masc,Gen
Wir wollen Stacheldraht um unser Grundstück ziehen,Stacheldraht,Masc,Acc
Wir wollen Stacheldraht um unser Grundstück ziehen,Grundstück,Neut,Acc
Der Traktor ist defekt,Traktor,Masc,Nom
Die Herden weiden auf der Wiese,Herden,Fem,Nom
Die Herden weiden auf der Wiese,Wiese,Fem,Dat
Die Bauern teilen sich einen Mähdrescher um die Kosten zu senken,Bauern,Masc,Nom
Die Bauern teilen sich einen Mähdrescher um die Kosten zu senken,Mähdrescher,Masc,Acc
Der Traktor pflügt gerade um,Traktor,Masc,Nom
Pferdemist düngt den Boden,Pferdemist,Masc,Nom
Pferdemist düngt den Boden,Boden,Masc,Acc
Nach der Ernte wurde Jauche auf den Feldern verteilt,Ernte,Fem,Dat
Nach der Ernte wurde Jauche auf den Feldern verteilt,Jauche,Fem,Nom
Nach der Ernte wurde Jauche auf den Feldern verteilt,Feldern,Neut,Dat
Du solltest ein Buschmesser mit dir tragen,Buschmesser,Neut,Acc
Die Landwirtschaft ist ein schwacher Teil des BIP,Landwirtschaft,Fem,Nom
Die Landwirtschaft ist ein schwacher Teil des BIP,Teil,Masc,Nom
Die Landwirtschaft ist ein schwacher Teil des BIP,BIP,Neut,Gen
Die Landwirte haben sehr unter der Trockenheit gelitten,Landwirte,Masc,Nom
Die Landwirte haben sehr unter der Trockenheit gelitten,Trockenheit,Fem,Dat
"Ein Jäger, der jagen kann, muss auch ohne Hund jagen können",Jäger,Masc,Nom
"Ein Jäger, der jagen kann, muss auch ohne Hund jagen können",Hund,Masc,Acc
Ich hasse es vom Krähen des Hahnes geweckt zu werden,Krähen,Neut,Dat
Ich hasse es vom Krähen des Hahnes geweckt zu werden,Hahnes,Masc,Gen
Wir fahren dieses Wochenende auf's Land,Wochenende,Neut,Acc
Wir fahren dieses Wochenende auf's Land,Land,Neut,Nom
Ein Fischereiboot ist wegen Sturms untergegangen,Fischereiboot,Neut,Nom
Ein Fischereiboot ist wegen Sturms untergegangen,Sturms,Masc,Gen
Man müsste die Fischernetze reparieren,Fischernetze,Masc,Acc
Sie leben in einem abgelegenen Dorf,Dorf,Neut,Dat
Dort sind Heuballen auf dem Feld,Heuballen,Fem,Nom
Dort sind Heuballen auf dem Feld,Feld,Neut,Dat
Die Gärtnerei ist sein Hobby,Gärtnerei,Fem,Nom
Die Gärtnerei ist sein Hobby,Hobby,Neut,Nom
Der Gemüseanbau ist wegen der Trockenheit in der Krise,Gemüseanbau,Masc,Nom
Der Gemüseanbau ist wegen der Trockenheit in der Krise,Krise,Fem,Dat
Die Obstbäume haben dieses Jahr nichts getragen,Obstbäume,Masc,Nom
Die Obstbäume haben dieses Jahr nichts getragen,Jahr,Neut,Acc
Die Rosen sind von den Blattläusen verwüstet,Rosen,Fem,Nom
Die Rosen sind von den Blattläusen verwüstet,Blattläusen,Masc,Dat
Wir verkaufen hier Tulpenzwiebeln,Tulpenzwiebeln,Neut,Acc
Die Flora dieser Region wird verkannt,Flora,Fem,Nom
Die Flora dieser Region wird verkannt,Region,Fem,Gen
Die Ente wurde von dem Jäger getötet,Ente,Fem,Nom
Die Ente wurde von dem Jäger getötet,Jäger,Masc,Dat
Der Ziegenbock ist das Männchen bei Ziegen,Ziegenbock,Masc,Nom
Der Ziegenbock ist das Männchen bei Ziegen,Männchen,Neut,Nom
Der Ziegenbock ist das Männchen bei Ziegen,Ziegen,Masc,Dat
Die Stute ist das Weibchen bei Pferden,Stute,Fem,Nom
Die Stute ist das Weibchen bei Pferden,Weibchen,Neut,Nom
Die Stute ist das Weibchen bei Pferden,Pferden,Neut,Dat
Das Fohlen galoppiert ungeschickt,Fohlen,Neut,Nom
Dieses Kalb ist per Kaiserschnitt geboren worden,Kalb,Neut,Nom
Dieses Kalb ist per Kaiserschnitt geboren worden,Kaiserschnitt,Masc,Dat
Die Stiere wurden auf der Straße freigelassen,Stiere,Masc,Nom
Die Stiere wurden auf der Straße freigelassen,Straße,Fem,Dat
Ein Lamm wurde für das Abendessen geschlachtet,Lamm,Neut,Nom
Ein Lamm wurde für das Abendessen geschlachtet,Abendessen,Neut,Acc
Das Zicklein läuft seiner Mutter hinterher,Zicklein,Neut,Nom
Das Zicklein läuft seiner Mutter hinterher,Mutter,Fem,Dat
"Das Kätzchen spielt mit der Maus, die seine Mutter gebracht hat",Kätzchen,Neut,Nom
"Das Kätzchen spielt mit der Maus, die seine Mutter gebracht hat",Maus,Fem,Dat
"Das Kätzchen spielt mit der Maus, die seine Mutter gebracht hat",Mutter,Fem,Acc
Sie hat einen Wurf von fünf Welpen gehabt,Wurf,Masc,Acc
Sie hat einen Wurf von fünf Welpen gehabt,Welpen,Fem,Dat
Die Küken rennen piepsend ihrer Mutter hinterher,Küken,Fem,Nom
Die Küken rennen piepsend ihrer Mutter hinterher,Mutter,Fem,Dat
Diese Schafe geben sehr gute Milch,Schafe,Neut,Nom
Diese Schafe geben sehr gute Milch,Milch,Fem,Acc
Wir haben die Schafe geschoren und Wolle gesponnen,Schafe,Neut,Acc
Wir haben die Schafe geschoren und Wolle gesponnen,Wolle,Masc,Acc
"Man muss den Hund ausführen, kümmerst du dich darum?",Hund,Masc,Acc
Er hat seinen Kater kastrieren lassen,Kater,Masc,Acc
Die Kühe weiden friedlich auf dem Feld,Kühe,Fem,Nom
Die Kühe weiden friedlich auf dem Feld,Feld,Neut,Dat
Diese Zeige ist alles und nichts,Zeige,Masc,Nom
Das Schwein wälzt sich im Schlamm,Schwein,Neut,Nom
Das Schwein wälzt sich im Schlamm,Schlamm,Masc,Dat
Das Pferd hat gewiehert bevor es los galoppierte,Pferd,Neut,Nom
Der Esel schreit,Esel,Masc,Nom
Das Maultier weigert sich weiterzulaufen,Maultier,Neut,Nom
Das Huhn pickt die Körner,Huhn,Neut,Nom
Das Huhn pickt die Körner,Körner,Neut,Acc
Tu noch ein Holzscheit ins Feuer,Holzscheit,Fem,Nom
Tu noch ein Holzscheit ins Feuer,Feuer,Neut,Acc
Der Hund schläft in seiner Hütte,Hund,Masc,Nom
Der Hund schläft in seiner Hütte,Hütte,Fem,Dat
Ein Fuchs hat es geschafft in den Hühnerstall einzudringen,Fuchs,Masc,Nom
Ein Fuchs hat es geschafft in den Hühnerstall einzudringen,Hühnerstall,Masc,Acc
Er lässt die Schafe nicht aus dem Stall,Schafe,Neut,Acc
Er lässt die Schafe nicht aus dem Stall,Stall,Masc,Dat
Dieses Brot enthält Roggen,Brot,Neut,Nom
Dieses Brot enthält Roggen,Roggen,Masc,Acc
"Wir mussten Samen kaufen, um dieses Jahr Mais zu sähen",Samen,Masc,Acc
"Wir mussten Samen kaufen, um dieses Jahr Mais zu sähen",Jahr,Neut,Acc
"Wir mussten Samen kaufen, um dieses Jahr Mais zu sähen",Mais,Masc,Nom
Wir essen Müsli zum Frühstück,Müsli,Neut,Acc
Wir essen Müsli zum Frühstück,Frühstück,Neut,Dat
Diese Weizenkörner sind von einem Pilz befallen,Weizenkörner,Masc,Nom
Diese Weizenkörner sind von einem Pilz befallen,Pilz,Neut,Dat
Er hat Insektenbekämpfungsmittel auf dem Feld verteilt,Insektenbekämpfungsmittel,Neut,Acc
Er hat Insektenbekämpfungsmittel auf dem Feld verteilt,Feld,Neut,Dat
Pestizide haben das Grundwasser verseucht,Pestizide,Neut,Nom
Pestizide haben das Grundwasser verseucht,Grundwasser,Neut,Nom
Unkrautvernichtungsmittel dienen dazu Unkraut loszuwerden,Unkrautvernichtungsmittel,Neut,Nom
Unkrautvernichtungsmittel dienen dazu Unkraut loszuwerden,Unkraut,Masc,Acc
Der Wald wurde zugunsten des Sojaanbaus beschnitten,Wald,Masc,Nom
Der Wald wurde zugunsten des Sojaanbaus beschnitten,Sojaanbaus,Masc,Gen
Ohne Bewässerung würde der Mais auf diesen Feldern nie wachsen,Bewässerung,Fem,Acc
Ohne Bewässerung würde der Mais auf diesen Feldern nie wachsen,Mais,Masc,Nom
Ohne Bewässerung würde der Mais auf diesen Feldern nie wachsen,Feldern,Neut,Dat
Fünf Bienenstöcke wurden auf diesem Feld aufgestellt,Bienenstöcke,Neut,Nom
Fünf Bienenstöcke wurden auf diesem Feld aufgestellt,Feld,Neut,Dat
Die Weide ist übersäht mit Kuhmist,Weide,Fem,Nom
Die Weide ist übersäht mit Kuhmist,Kuhmist,Masc,Dat
Die Sau säugt die Ferkel,Sau,Fem,Nom
Die Sau säugt die Ferkel,Ferkel,Masc,Acc
Die Schwalben setzten sich auf eine Stromleitung,Schwalben,Fem,Nom
Die Schwalben setzten sich auf eine Stromleitung,Stromleitung,Fem,Acc
Das Wiesel ist ein Fleischfresser,Wiesel,Neut,Nom
Das Wiesel ist ein Fleischfresser,Fleischfresser,Masc,Nom
Die Massentierhaltung hat eine Verseuchung des Anbaus verursacht,Massentierhaltung,Fem,Nom
Die Massentierhaltung hat eine Verseuchung des Anbaus verursacht,Verseuchung,Fem,Acc
Die Massentierhaltung hat eine Verseuchung des Anbaus verursacht,Anbaus,Masc,Gen
"Die Herde ist unruhig, als sie sich dem Schlachthof nähert",Herde,Fem,Nom
"Die Herde ist unruhig, als sie sich dem Schlachthof nähert",Schlachthof,Masc,Dat
Ein Feuer wurde in einem Kornsilo gemeldet,Feuer,Neut,Nom
Ein Feuer wurde in einem Kornsilo gemeldet,Kornsilo,Neut,Dat
Der Reisende schlief in jener Nacht in einer Scheune,Reisende,Masc,Nom
Der Reisende schlief in jener Nacht in einer Scheune,Nacht,Fem,Dat
Der Reisende schlief in jener Nacht in einer Scheune,Scheune,Fem,Dat
Der Bauer schöpft Wasser aus dem Brunnen,Bauer,Masc,Nom
Der Bauer schöpft Wasser aus dem Brunnen,Wasser,Neut,Acc
Der Bauer schöpft Wasser aus dem Brunnen,Brunnen,Masc,Dat
Er trägt zwei Eimer Wasser,Eimer,Masc,Acc
Er trägt zwei Eimer Wasser,Wasser,Neut,Nom
Man müsste diesen Baumstumpf mit den Wurzeln herausreißen,Baumstumpf,Masc,Acc
Man müsste diesen Baumstumpf mit den Wurzeln herausreißen,Wurzeln,Fem,Dat
Das sind Tulpenzwiebeln,Tulpenzwiebeln,Fem,Nom
Die Rotwangen-Schmuckschildkröte ist eine invasive Tierart in Europa,Rotwangen-Schmuckschildkröte,Fem,Nom
Die Rotwangen-Schmuckschildkröte ist eine invasive Tierart in Europa,Tierart,Masc,Nom
Die Krise der Biodiversität ist im Zentrum der Diskussionen,Krise,Fem,Nom
Die Krise der Biodiversität ist im Zentrum der Diskussionen,Biodiversität,Fem,Gen
Die Krise der Biodiversität ist im Zentrum der Diskussionen,Zentrum,Neut,Dat
Die Krise der Biodiversität ist im Zentrum der Diskussionen,Diskussionen,Fem,Gen
Letztes Jahr ist die Population dieser Vogelart leicht angestiegen,Jahr,Neut,Nom
Letztes Jahr ist die Population dieser Vogelart leicht angestiegen,Population,Fem,Nom
Letztes Jahr ist die Population dieser Vogelart leicht angestiegen,Vogelart,Masc,Gen
Die Gefahr des Aussterbens dieser Art ist reell und wÄchst von Tag zu Tag,Gefahr,Fem,Nom
Die Gefahr des Aussterbens dieser Art ist reell und wÄchst von Tag zu Tag,Aussterbens,Neut,Gen
Die Gefahr des Aussterbens dieser Art ist reell und wÄchst von Tag zu Tag,Art,Fem,Gen
Die Gefahr des Aussterbens dieser Art ist reell und wÄchst von Tag zu Tag,Tag,Masc,Dat
Die Gefahr des Aussterbens dieser Art ist reell und wÄchst von Tag zu Tag,Tag,Masc,Dat
Wir erleben gerade das sechste Massenaussterben,Massenaussterben,Fem,Acc
Die Wilderei hat den Gorilla an den Rand des Aussterbens gebracht,Wilderei,Fem,Nom
Die Wilderei hat den Gorilla an den Rand des Aussterbens gebracht,Gorilla,Masc,Acc
Die Wilderei hat den Gorilla an den Rand des Aussterbens gebracht,Rand,Masc,Acc
Die Wilderei hat den Gorilla an den Rand des Aussterbens gebracht,Aussterbens,Neut,Gen
Die Erschließung von Quellen muss bedacht geschehen,Erschließung,Fem,Nom
Die Erschließung von Quellen muss bedacht geschehen,Quellen,Fem,Dat
Die Entwaldung schreitet in einem beunruhigenden Rhythmus voran,Entwaldung,Fem,Nom
Die Entwaldung schreitet in einem beunruhigenden Rhythmus voran,Rhythmus,Masc,Dat
Die Zerstörung des Lebensraumes ist die Hauptgefahr die diese Art belastet,Zerstörung,Fem,Nom
Die Zerstörung des Lebensraumes ist die Hauptgefahr die diese Art belastet,Lebensraumes,Masc,Gen
Die Zerstörung des Lebensraumes ist die Hauptgefahr die diese Art belastet,Hauptgefahr,Fem,Nom
Die Zerstörung des Lebensraumes ist die Hauptgefahr die diese Art belastet,Art,Fem,Acc
Die Klimaänderung ist ein großes Problem,Klimaänderung,Fem,Nom
Die Klimaänderung ist ein großes Problem,Problem,Neut,Nom
Das Haupttreibhausgas ist das Kohlenstoffdyoxid,Haupttreibhausgas,Neut,Nom
Das Haupttreibhausgas ist das Kohlenstoffdyoxid,Kohlenstoffdyoxid,Neut,Nom
Das Loch in der Ozonschicht hat sich beinahe stabilisiert,Loch,Neut,Nom
Das Loch in der Ozonschicht hat sich beinahe stabilisiert,Ozonschicht,Fem,Dat
Kohlenstoffdyoxid wird aus fossielen Brennstoffen gewonnen,Kohlenstoffdyoxid,Fem,Nom
Kohlenstoffdyoxid wird aus fossielen Brennstoffen gewonnen,Brennstoffen,Fem,Dat
Methangas steigt aus dem Sumpf empor,Methangas,Neut,Nom
Methangas steigt aus dem Sumpf empor,Sumpf,Masc,Dat
Nitrate haben Algen entstehen lassen,Nitrate,Neut,Nom
Nitrate haben Algen entstehen lassen,Algen,Fem,Acc
Der saure Regen hat die Vegetation zugrunde gerichte,Regen,Masc,Nom
Der saure Regen hat die Vegetation zugrunde gerichte,Vegetation,Fem,Nom
Diese Nichtregierungsorganisation arbeitet für die Erhaltung bedrohter Tierarten,Nichtregierungsorganisation,Fem,Nom
Diese Nichtregierungsorganisation arbeitet für die Erhaltung bedrohter Tierarten,Erhaltung,Fem,Acc
Diese Nichtregierungsorganisation arbeitet für die Erhaltung bedrohter Tierarten,Tierarten,Fem,Gen
Die marinen Ökosysteme reagieren auf die Wassertemperatur,Ökosysteme,Neut,Nom
Die marinen Ökosysteme reagieren auf die Wassertemperatur,Wassertemperatur,Fem,Acc
Umweltprobleme sind eine Priorität geworden,Umweltprobleme,Neut,Nom
Umweltprobleme sind eine Priorität geworden,Priorität,Fem,Nom
Ökologie sind eine neue Wissenschaft,Ökologie,Fem,Nom
Ökologie sind eine neue Wissenschaft,Wissenschaft,Fem,Nom
Umweltschützer haben Schwierigkeiten sich politisch durchzusetzen,Umweltschützer,Masc,Nom
Umweltschützer haben Schwierigkeiten sich politisch durchzusetzen,Schwierigkeiten,Fem,Acc
"Der Treibhauseffekt ist ein Naturphänomen, das vom Menschen verstärkt wird",Treibhauseffekt,Masc,Nom
"Der Treibhauseffekt ist ein Naturphänomen, das vom Menschen verstärkt wird",Naturphänomen,Neut,Nom
"Der Treibhauseffekt ist ein Naturphänomen, das vom Menschen verstärkt wird",Menschen,Masc,Dat
Die Nachhaltigkeit ist die Herausforderung dieses neuen Jahrhunderts,Nachhaltigkeit,Fem,Nom
Die Nachhaltigkeit ist die Herausforderung dieses neuen Jahrhunderts,Herausforderung,Fem,Nom
Die Nachhaltigkeit ist die Herausforderung dieses neuen Jahrhunderts,Jahrhunderts,Neut,Gen
Sonnenenergie ist erneuerbar,Sonnenenergie,Fem,Nom
"Die Energie ist eine Ressource, die immer kostbarer wird",Energie,Fem,Nom
"Die Energie ist eine Ressource, die immer kostbarer wird",Ressource,Fem,Nom
Windräder funktionieren selten durchgängig,Windräder,Neut,Nom
Die Anwohner protestieren gegen den Bau eines Staudamms,Anwohner,Masc,Nom
Die Anwohner protestieren gegen den Bau eines Staudamms,Bau,Masc,Acc
Die Anwohner protestieren gegen den Bau eines Staudamms,Staudamms,Neut,Gen
Er hat Solarmodule auf seinem Dach installieren lassen,Solarmodule,Fem,Acc
Er hat Solarmodule auf seinem Dach installieren lassen,Dach,Neut,Dat
Es gibt in dieser Stadt noch keine Glaswiederverwertung,Stadt,Fem,Dat
Es gibt in dieser Stadt noch keine Glaswiederverwertung,Glaswiederverwertung,Fem,Nom
Die Regierung hat ein großes Aufforstungsprojekt aufgedeckt,Regierung,Fem,Nom
Die Regierung hat ein großes Aufforstungsprojekt aufgedeckt,Aufforstungsprojekt,Neut,Acc
"Dies ist ein Landschaftsschutzgebiet, Jagd ist hier verboten",Landschaftsschutzgebiet,Neut,Nom
"Dies ist ein Landschaftsschutzgebiet, Jagd ist hier verboten",Jagd,Fem,Nom
Die Überfischung endete mit dem Verschwinden der Fischbestände,Überfischung,Fem,Nom
Die Überfischung endete mit dem Verschwinden der Fischbestände,Verschwinden,Neut,Dat
Die Überfischung endete mit dem Verschwinden der Fischbestände,Fischbestände,Masc,Gen
Eine Müllverbrennungsanlage wurde für die Verbrennung von Abfall gebaut.,Müllverbrennungsanlage,Fem,Nom
Eine Müllverbrennungsanlage wurde für die Verbrennung von Abfall gebaut.,Verbrennung,Fem,Acc
Eine Müllverbrennungsanlage wurde für die Verbrennung von Abfall gebaut.,Abfall,Masc,Dat
Der Uranpreis ist innerhalb von weniger als fünf Jahren um das Zehnfache gestiegen,Uranpreis,Masc,Nom
Der Uranpreis ist innerhalb von weniger als fünf Jahren um das Zehnfache gestiegen,Jahren,Neut,Dat
Der Uranpreis ist innerhalb von weniger als fünf Jahren um das Zehnfache gestiegen,Zehnfache,Neut,Acc
Der radioaktive Abfall ist im Zentrum der Nukleardebatte,Abfall,Masc,Nom
Der radioaktive Abfall ist im Zentrum der Nukleardebatte,Zentrum,Neut,Dat
Der radioaktive Abfall ist im Zentrum der Nukleardebatte,Nukleardebatte,Fem,Gen
Die nukleare Abfallwirtschaft ist ein riskanter Prozess,Abfallwirtschaft,Fem,Nom
Die nukleare Abfallwirtschaft ist ein riskanter Prozess,Prozess,Masc,Nom
Die Abwässer fließen direkt in den Fluss,Abwässer,Neut,Nom
Die Umweltbelastung hat aufgrund der Hitze historische Werte erreicht,Umweltbelastung,Fem,Nom
Die Umweltbelastung hat aufgrund der Hitze historische Werte erreicht,Hitze,Fem,Gen
Die Umweltbelastung hat aufgrund der Hitze historische Werte erreicht,Werte,Masc,Acc
Ein Störfall ist in einem Kernkraftwerk passiert,Störfall,Masc,Nom
Ein Störfall ist in einem Kernkraftwerk passiert,Kernkraftwerk,Neut,Dat
Gentchnisch veränderte Lebewesen wurden trotz des Widerstands der Bevölkerung genehmigt,Lebewesen,Neut,Nom
Gentchnisch veränderte Lebewesen wurden trotz des Widerstands der Bevölkerung genehmigt,Widerstands,Masc,Gen
Gentchnisch veränderte Lebewesen wurden trotz des Widerstands der Bevölkerung genehmigt,Bevölkerung,Fem,Gen
Die Verschmutzung des Flusses konnte nicht verhindert werden,Verschmutzung,Fem,Nom
Die Verschmutzung des Flusses konnte nicht verhindert werden,Flusses,Masc,Gen
Die Dekontaminierung der Böden wird Jahre brauchen,Dekontaminierung,Fem,Nom
Die Dekontaminierung der Böden wird Jahre brauchen,Böden,Masc,Gen
Die Dekontaminierung der Böden wird Jahre brauchen,Jahre,Neut,Acc
"Die Restauration des Sumpfgebietes hat geholfen, die Art zu retten",Restauration,Fem,Nom
"Die Restauration des Sumpfgebietes hat geholfen, die Art zu retten",Sumpfgebietes,Masc,Gen
"Die Restauration des Sumpfgebietes hat geholfen, die Art zu retten",Art,Fem,Acc
Die Wiederansiedlung der Art ist wegen der Wilderei gefährdet,Wiederansiedlung,Fem,Nom
Die Wiederansiedlung der Art ist wegen der Wilderei gefährdet,Art,Fem,Gen
Sie will bei der Säuberung des Strandes teilnehmen,Säuberung,Fem,Dat
Sie will bei der Säuberung des Strandes teilnehmen,Strandes,Masc,Gen
Das ist ein leidenschaftlicher Aktionist,Aktionist,Masc,Nom
Die Prüfungen sind gut gelaufen,Prüfungen,Fem,Nom
Wir sind aus demselben Jahrgang,Jahrgang,Masc,Dat
Sie hasst Familientreffen,Familientreffen,Fem,Acc
Das sind Freunde meiner Eltern,Freunde,Masc,Nom
Mein Vater arbeitet bei der Post,Vater,Masc,Nom
Mein Vater arbeitet bei der Post,Post,Fem,Dat
Meine Mutter ist zum Mark gegangen,Mutter,Fem,Nom
Meine Mutter ist zum Mark gegangen,Mark,Neut,Dat
"Er hat zwei Brüder, einen älteren Bruder, einen jüngeren Bruder",Brüder,Masc,Acc
"Er hat zwei Brüder, einen älteren Bruder, einen jüngeren Bruder",Bruder,Masc,Acc
"Er hat zwei Brüder, einen älteren Bruder, einen jüngeren Bruder",Bruder,Masc,Acc
"Er hat zwei Schwestern, eine ältere Schwester, eine jüngere Schwester",Schwestern,Fem,Acc
"Er hat zwei Schwestern, eine ältere Schwester, eine jüngere Schwester",Schwester,Fem,Nom
"Er hat zwei Schwestern, eine ältere Schwester, eine jüngere Schwester",Schwester,Fem,Nom
Mein Sohn lebt von nun an ganz allein,Sohn,Masc,Nom
Wir haben eine gute BEziehung zu unserer Tochter,BEziehung,Fem,Acc
Wir haben eine gute BEziehung zu unserer Tochter,Tochter,Fem,Dat
"Das ist mein Onkel, der Bruder meines Vaters",Onkel,Masc,Nom
"Das ist mein Onkel, der Bruder meines Vaters",Bruder,Masc,Nom
"Das ist mein Onkel, der Bruder meines Vaters",Vaters,Masc,Gen
"Ich habe zwei Tanten, das sind die Schwestern meiner Mutter",Tanten,Fem,Acc
"Ich habe zwei Tanten, das sind die Schwestern meiner Mutter",Schwestern,Fem,Nom
"Ich habe zwei Tanten, das sind die Schwestern meiner Mutter",Mutter,Fem,Gen
Ihr Neffe kam uns besuchen,Neffe,Masc,Nom
Die Tochter meines Bruders ist meine Nichte,Tochter,Fem,Nom
Die Tochter meines Bruders ist meine Nichte,Bruders,Masc,Gen
Die Tochter meines Bruders ist meine Nichte,Nichte,Neut,Nom
Mein Cousin lebt in Kanada,Cousin,Masc,Nom
E hat zwei Cousinen,E,Neut,Nom
E hat zwei Cousinen,Cousinen,Fem,Acc
Der Sohn meiner Tante ist mein Cousin ersten Grades,Sohn,Masc,Nom
Der Sohn meiner Tante ist mein Cousin ersten Grades,Tante,Fem,Gen
Der Sohn meiner Tante ist mein Cousin ersten Grades,Cousin,Masc,Nom
Der Sohn meiner Tante ist mein Cousin ersten Grades,Grades,Masc,Gen
Die Tochter meines Onkels ist meine Cousine ersten Grades,Tochter,Fem,Nom
Die Tochter meines Onkels ist meine Cousine ersten Grades,Onkels,Masc,Gen
Die Tochter meines Onkels ist meine Cousine ersten Grades,Cousine,Fem,Nom
Die Tochter meines Onkels ist meine Cousine ersten Grades,Grades,Masc,Gen
Die Kinder meiner Cousins ersten Grades sind meine Großcousins,Kinder,Neut,Nom
Die Kinder meiner Cousins ersten Grades sind meine Großcousins,Grades,Masc,Gen
Die Kinder meiner Cousins ersten Grades sind meine Großcousins,Großcousins,Masc,Nom
Wir feiern morgen den hundertsten Geburtstag meines Großvaters,Geburtstag,Masc,Acc
