Sentence,Question,Options,Correct Answer
He was asked for his thumb fingerprint.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He was asked for his thumb fingerprint.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He was asked for his thumb fingerprint.,Is the word 'thumb' a noun or a pronoun?,"Noun, Pronoun",Noun
He was asked for his thumb fingerprint.,Is the word 'fingerprint' a noun or a pronoun?,"Noun, Pronoun",Noun
She had a nose job.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She had a nose job.,Is the word 'nose' a noun or a pronoun?,"Noun, Pronoun",Noun
She had a nose job.,Is the word 'job' a noun or a pronoun?,"Noun, Pronoun",Noun
Shut your mouth when you eat.,Is the word 'your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Shut your mouth when you eat.,Is the word 'mouth' a noun or a pronoun?,"Noun, Pronoun",Noun
Shut your mouth when you eat.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do I have an eyelash in my eye?,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do I have an eyelash in my eye?,Is the word 'eyelash' a noun or a pronoun?,"Noun, Pronoun",Noun
Do I have an eyelash in my eye?,Is the word 'my' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do I have an eyelash in my eye?,Is the word 'eye' a noun or a pronoun?,"Noun, Pronoun",Noun
His ears are red because of the cold.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His ears are red because of the cold.,Is the word 'ears' a noun or a pronoun?,"Noun, Pronoun",Noun
His ears are red because of the cold.,Is the word 'cold' a noun or a pronoun?,"Noun, Pronoun",Noun
He opened his chin when he fell off his bike.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He opened his chin when he fell off his bike.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He opened his chin when he fell off his bike.,Is the word 'chin' a noun or a pronoun?,"Noun, Pronoun",Noun
He opened his chin when he fell off his bike.,Is the word 'he' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He opened his chin when he fell off his bike.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He opened his chin when he fell off his bike.,Is the word 'bike' a noun or a pronoun?,"Noun, Pronoun",Noun
He has a pimple on the forehead.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has a pimple on the forehead.,Is the word 'pimple' a noun or a pronoun?,"Noun, Pronoun",Noun
He has a pimple on the forehead.,Is the word 'forehead' a noun or a pronoun?,"Noun, Pronoun",Noun
She has curly hair.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She has curly hair.,Is the word 'hair' a noun or a pronoun?,"Noun, Pronoun",Noun
"Your hairs have clogged the sink, you have to be more careful when you shave.",Is the word 'Your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"Your hairs have clogged the sink, you have to be more careful when you shave.",Is the word 'hairs' a noun or a pronoun?,"Noun, Pronoun",Noun
"Your hairs have clogged the sink, you have to be more careful when you shave.",Is the word 'sink' a noun or a pronoun?,"Noun, Pronoun",Noun
"Your hairs have clogged the sink, you have to be more careful when you shave.",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"Your hairs have clogged the sink, you have to be more careful when you shave.",Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She has a beauty spot on the left buttock.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She has a beauty spot on the left buttock.,Is the word 'beauty' a noun or a pronoun?,"Noun, Pronoun",Noun
She has a beauty spot on the left buttock.,Is the word 'spot' a noun or a pronoun?,"Noun, Pronoun",Noun
She has a beauty spot on the left buttock.,Is the word 'buttock' a noun or a pronoun?,"Noun, Pronoun",Noun
He has a big bruise on his thigh.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has a big bruise on his thigh.,Is the word 'bruise' a noun or a pronoun?,"Noun, Pronoun",Noun
He has a big bruise on his thigh.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has a big bruise on his thigh.,Is the word 'thigh' a noun or a pronoun?,"Noun, Pronoun",Noun
She has cramp in her calf.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She has cramp in her calf.,Is the word 'cramp' a noun or a pronoun?,"Noun, Pronoun",Noun
She has cramp in her calf.,Is the word 'her' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She has cramp in her calf.,Is the word 'calf' a noun or a pronoun?,"Noun, Pronoun",Noun
She kicked him in the tibia.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She kicked him in the tibia.,Is the word 'him' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His abdomen had to be opened to make the operation possible.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His abdomen had to be opened to make the operation possible.,Is the word 'abdomen' a noun or a pronoun?,"Noun, Pronoun",Noun
His abdomen had to be opened to make the operation possible.,Is the word 'operation' a noun or a pronoun?,"Noun, Pronoun",Noun
His stomach pain went away quickly.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His stomach pain went away quickly.,Is the word 'stomach' a noun or a pronoun?,"Noun, Pronoun",Noun
His stomach pain went away quickly.,Is the word 'pain' a noun or a pronoun?,"Noun, Pronoun",Noun
Your intestines can be upset when you eat spicy food.,Is the word 'Your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your intestines can be upset when you eat spicy food.,Is the word 'intestines' a noun or a pronoun?,"Noun, Pronoun",Noun
Your intestines can be upset when you eat spicy food.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Your intestines can be upset when you eat spicy food.,Is the word 'food' a noun or a pronoun?,"Noun, Pronoun",Noun
He was given a liver transplant.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He was given a liver transplant.,Is the word 'liver' a noun or a pronoun?,"Noun, Pronoun",Noun
He was given a liver transplant.,Is the word 'transplant' a noun or a pronoun?,"Noun, Pronoun",Noun
He had a sunburnt three weeks ago and now his skin is peeling.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He had a sunburnt three weeks ago and now his skin is peeling.,Is the word 'weeks' a noun or a pronoun?,"Noun, Pronoun",Noun
He had a sunburnt three weeks ago and now his skin is peeling.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He had a sunburnt three weeks ago and now his skin is peeling.,Is the word 'skin' a noun or a pronoun?,"Noun, Pronoun",Noun
He was given a kidney transplant.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He was given a kidney transplant.,Is the word 'kidney' a noun or a pronoun?,"Noun, Pronoun",Noun
He was given a kidney transplant.,Is the word 'transplant' a noun or a pronoun?,"Noun, Pronoun",Noun
Bacterias enter the bladder when you suffer from a urinary infection.,Is the word 'bladder' a noun or a pronoun?,"Noun, Pronoun",Noun
Bacterias enter the bladder when you suffer from a urinary infection.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Bacterias enter the bladder when you suffer from a urinary infection.,Is the word 'infection' a noun or a pronoun?,"Noun, Pronoun",Noun
You should pay more attention to your back if you do not want to end up with a cane.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You should pay more attention to your back if you do not want to end up with a cane.,Is the word 'attention' a noun or a pronoun?,"Noun, Pronoun",Noun
You should pay more attention to your back if you do not want to end up with a cane.,Is the word 'your' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You should pay more attention to your back if you do not want to end up with a cane.,Is the word 'back' a noun or a pronoun?,"Noun, Pronoun",Noun
You should pay more attention to your back if you do not want to end up with a cane.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You should pay more attention to your back if you do not want to end up with a cane.,Is the word 'cane' a noun or a pronoun?,"Noun, Pronoun",Noun
Her belly has been hurting since this morning.,Is the word 'Her' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Her belly has been hurting since this morning.,Is the word 'belly' a noun or a pronoun?,"Noun, Pronoun",Noun
Her belly has been hurting since this morning.,Is the word 'morning' a noun or a pronoun?,"Noun, Pronoun",Noun
Bones contain large amounts of calcium.,Is the word 'Bones' a noun or a pronoun?,"Noun, Pronoun",Noun
Bones contain large amounts of calcium.,Is the word 'amounts' a noun or a pronoun?,"Noun, Pronoun",Noun
Bones contain large amounts of calcium.,Is the word 'calcium' a noun or a pronoun?,"Noun, Pronoun",Noun
Fat mostly pile up during winter.,Is the word 'winter' a noun or a pronoun?,"Noun, Pronoun",Noun
He has thin but strong muscles.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has thin but strong muscles.,Is the word 'muscles' a noun or a pronoun?,"Noun, Pronoun",Noun
The way brain works is a highly researched subject.,Is the word 'way' a noun or a pronoun?,"Noun, Pronoun",Noun
The way brain works is a highly researched subject.,Is the word 'brain' a noun or a pronoun?,"Noun, Pronoun",Noun
The way brain works is a highly researched subject.,Is the word 'works' a noun or a pronoun?,"Noun, Pronoun",Noun
The way brain works is a highly researched subject.,Is the word 'subject' a noun or a pronoun?,"Noun, Pronoun",Noun
He underwent an operation to change sex.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He underwent an operation to change sex.,Is the word 'operation' a noun or a pronoun?,"Noun, Pronoun",Noun
He underwent an operation to change sex.,Is the word 'sex' a noun or a pronoun?,"Noun, Pronoun",Noun
He gives his blood on a regular basis.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He gives his blood on a regular basis.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He gives his blood on a regular basis.,Is the word 'blood' a noun or a pronoun?,"Noun, Pronoun",Noun
He gives his blood on a regular basis.,Is the word 'basis' a noun or a pronoun?,"Noun, Pronoun",Noun
His neck veins are very apparent.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His neck veins are very apparent.,Is the word 'neck' a noun or a pronoun?,"Noun, Pronoun",Noun
His neck veins are very apparent.,Is the word 'veins' a noun or a pronoun?,"Noun, Pronoun",Noun
He had had a lung radio.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He had had a lung radio.,Is the word 'lung' a noun or a pronoun?,"Noun, Pronoun",Noun
He had had a lung radio.,Is the word 'radio' a noun or a pronoun?,"Noun, Pronoun",Noun
Heart beats can be heard thanks to a stethoscope.,Is the word 'Heart' a noun or a pronoun?,"Noun, Pronoun",Noun
Heart beats can be heard thanks to a stethoscope.,Is the word 'beats' a noun or a pronoun?,"Noun, Pronoun",Noun
Heart beats can be heard thanks to a stethoscope.,Is the word 'thanks' a noun or a pronoun?,"Noun, Pronoun",Noun
Heart beats can be heard thanks to a stethoscope.,Is the word 'stethoscope' a noun or a pronoun?,"Noun, Pronoun",Noun
Arteries bring oxygened blood to organs.,Is the word 'Arteries' a noun or a pronoun?,"Noun, Pronoun",Noun
Arteries bring oxygened blood to organs.,Is the word 'blood' a noun or a pronoun?,"Noun, Pronoun",Noun
Arteries bring oxygened blood to organs.,Is the word 'organs' a noun or a pronoun?,"Noun, Pronoun",Noun
He gave her a kiss on the cheek.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He gave her a kiss on the cheek.,Is the word 'her' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He gave her a kiss on the cheek.,Is the word 'kiss' a noun or a pronoun?,"Noun, Pronoun",Noun
He gave her a kiss on the cheek.,Is the word 'cheek' a noun or a pronoun?,"Noun, Pronoun",Noun
He has been growing his beard for weeks.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has been growing his beard for weeks.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He has been growing his beard for weeks.,Is the word 'beard' a noun or a pronoun?,"Noun, Pronoun",Noun
He has been growing his beard for weeks.,Is the word 'weeks' a noun or a pronoun?,"Noun, Pronoun",Noun
He is growing his mustache.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is growing his mustache.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He is growing his mustache.,Is the word 'mustache' a noun or a pronoun?,"Noun, Pronoun",Noun
She has very long eyelashes.,Is the word 'She' a noun or a pronoun?,"Noun, Pronoun",Pronoun
She has very long eyelashes.,Is the word 'eyelashes' a noun or a pronoun?,"Noun, Pronoun",Noun
He raised eyebrows out of disdain.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He raised eyebrows out of disdain.,Is the word 'eyebrows' a noun or a pronoun?,"Noun, Pronoun",Noun
He raised eyebrows out of disdain.,Is the word 'disdain' a noun or a pronoun?,"Noun, Pronoun",Noun
My lips are chapped.,Is the word 'My' a noun or a pronoun?,"Noun, Pronoun",Pronoun
My lips are chapped.,Is the word 'lips' a noun or a pronoun?,"Noun, Pronoun",Noun
The marketing strategy is to be rethinked.,Is the word 'marketing' a noun or a pronoun?,"Noun, Pronoun",Noun
The marketing strategy is to be rethinked.,Is the word 'strategy' a noun or a pronoun?,"Noun, Pronoun",Noun
Sales are taking a nose dive this month.,Is the word 'Sales' a noun or a pronoun?,"Noun, Pronoun",Noun
Sales are taking a nose dive this month.,Is the word 'nose' a noun or a pronoun?,"Noun, Pronoun",Noun
Sales are taking a nose dive this month.,Is the word 'dive' a noun or a pronoun?,"Noun, Pronoun",Noun
Sales are taking a nose dive this month.,Is the word 'month' a noun or a pronoun?,"Noun, Pronoun",Noun
Investments in Europe are plummeting.,Is the word 'Investments' a noun or a pronoun?,"Noun, Pronoun",Noun
The meeting was postponed by the new director.,Is the word 'meeting' a noun or a pronoun?,"Noun, Pronoun",Noun
The meeting was postponed by the new director.,Is the word 'director' a noun or a pronoun?,"Noun, Pronoun",Noun
We are looking for purchasers to buy the company.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We are looking for purchasers to buy the company.,Is the word 'purchasers' a noun or a pronoun?,"Noun, Pronoun",Noun
We are looking for purchasers to buy the company.,Is the word 'company' a noun or a pronoun?,"Noun, Pronoun",Noun
His customer was rather satisfied.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His customer was rather satisfied.,Is the word 'customer' a noun or a pronoun?,"Noun, Pronoun",Noun
It is a high quality product.,Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It is a high quality product.,Is the word 'quality' a noun or a pronoun?,"Noun, Pronoun",Noun
It is a high quality product.,Is the word 'product' a noun or a pronoun?,"Noun, Pronoun",Noun
He got big discounts on this product.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He got big discounts on this product.,Is the word 'discounts' a noun or a pronoun?,"Noun, Pronoun",Noun
He got big discounts on this product.,Is the word 'product' a noun or a pronoun?,"Noun, Pronoun",Noun
It is the last day of sales.,Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
It is the last day of sales.,Is the word 'day' a noun or a pronoun?,"Noun, Pronoun",Noun
It is the last day of sales.,Is the word 'sales' a noun or a pronoun?,"Noun, Pronoun",Noun
Business was affected by economic sanctions.,Is the word 'Business' a noun or a pronoun?,"Noun, Pronoun",Noun
Business was affected by economic sanctions.,Is the word 'sanctions' a noun or a pronoun?,"Noun, Pronoun",Noun
The fair trade concept is fashionable.,Is the word 'trade' a noun or a pronoun?,"Noun, Pronoun",Noun
The fair trade concept is fashionable.,Is the word 'concept' a noun or a pronoun?,"Noun, Pronoun",Noun
You cannot buy anything on retail in this company.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You cannot buy anything on retail in this company.,Is the word 'anything' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You cannot buy anything on retail in this company.,Is the word 'retail' a noun or a pronoun?,"Noun, Pronoun",Noun
You cannot buy anything on retail in this company.,Is the word 'company' a noun or a pronoun?,"Noun, Pronoun",Noun
An agreement has been found between the two companies.,Is the word 'agreement' a noun or a pronoun?,"Noun, Pronoun",Noun
An agreement has been found between the two companies.,Is the word 'companies' a noun or a pronoun?,"Noun, Pronoun",Noun
Negociations have failed.,Is the word 'Negociations' a noun or a pronoun?,"Noun, Pronoun",Noun
We have to agree on a schedule as soon as possible.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We have to agree on a schedule as soon as possible.,Is the word 'schedule' a noun or a pronoun?,"Noun, Pronoun",Noun
His absence has been noticed.,Is the word 'His' a noun or a pronoun?,"Noun, Pronoun",Pronoun
His absence has been noticed.,Is the word 'absence' a noun or a pronoun?,"Noun, Pronoun",Noun
The presence of the CEO surprised the assembly.,Is the word 'presence' a noun or a pronoun?,"Noun, Pronoun",Noun
The presence of the CEO surprised the assembly.,Is the word 'CEO' a noun or a pronoun?,"Noun, Pronoun",Noun
The presence of the CEO surprised the assembly.,Is the word 'assembly' a noun or a pronoun?,"Noun, Pronoun",Noun
The lecture will start within a few minutes.,Is the word 'lecture' a noun or a pronoun?,"Noun, Pronoun",Noun
The lecture will start within a few minutes.,Is the word 'minutes' a noun or a pronoun?,"Noun, Pronoun",Noun
The deadline has been postponed by one week.,Is the word 'deadline' a noun or a pronoun?,"Noun, Pronoun",Noun
The deadline has been postponed by one week.,Is the word 'week' a noun or a pronoun?,"Noun, Pronoun",Noun
Our objective is to conquer the market in less than two year.,Is the word 'Our' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Our objective is to conquer the market in less than two year.,Is the word 'objective' a noun or a pronoun?,"Noun, Pronoun",Noun
Our objective is to conquer the market in less than two year.,Is the word 'market' a noun or a pronoun?,"Noun, Pronoun",Noun
Our objective is to conquer the market in less than two year.,Is the word 'year' a noun or a pronoun?,"Noun, Pronoun",Noun
We have two propositions for you.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We have two propositions for you.,Is the word 'propositions' a noun or a pronoun?,"Noun, Pronoun",Noun
We have two propositions for you.,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The shareholders approved this step unanimously.,Is the word 'shareholders' a noun or a pronoun?,"Noun, Pronoun",Noun
The shareholders approved this step unanimously.,Is the word 'step' a noun or a pronoun?,"Noun, Pronoun",Noun
Profits will not be immediate.,Is the word 'Profits' a noun or a pronoun?,"Noun, Pronoun",Noun
Our company must invest more into advertising.,Is the word 'Our' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Our company must invest more into advertising.,Is the word 'company' a noun or a pronoun?,"Noun, Pronoun",Noun
Our company must invest more into advertising.,Is the word 'advertising' a noun or a pronoun?,"Noun, Pronoun",Noun
We are looking for a new advertising slogan.,Is the word 'We' a noun or a pronoun?,"Noun, Pronoun",Pronoun
We are looking for a new advertising slogan.,Is the word 'advertising' a noun or a pronoun?,"Noun, Pronoun",Noun
We are looking for a new advertising slogan.,Is the word 'slogan' a noun or a pronoun?,"Noun, Pronoun",Noun
The debt crisis threatens European economy.,Is the word 'debt' a noun or a pronoun?,"Noun, Pronoun",Noun
The debt crisis threatens European economy.,Is the word 'crisis' a noun or a pronoun?,"Noun, Pronoun",Noun
The debt crisis threatens European economy.,Is the word 'economy' a noun or a pronoun?,"Noun, Pronoun",Noun
He bankrupted himself by speculating.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He bankrupted himself by speculating.,Is the word 'himself' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He got a loan from his bank.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He got a loan from his bank.,Is the word 'loan' a noun or a pronoun?,"Noun, Pronoun",Noun
He got a loan from his bank.,Is the word 'his' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He got a loan from his bank.,Is the word 'bank' a noun or a pronoun?,"Noun, Pronoun",Noun
"The hearing went rather well, our lawyer had prepared the case.",Is the word 'hearing' a noun or a pronoun?,"Noun, Pronoun",Noun
"The hearing went rather well, our lawyer had prepared the case.",Is the word 'our' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"The hearing went rather well, our lawyer had prepared the case.",Is the word 'lawyer' a noun or a pronoun?,"Noun, Pronoun",Noun
"The hearing went rather well, our lawyer had prepared the case.",Is the word 'case' a noun or a pronoun?,"Noun, Pronoun",Noun
Interns are often exploited.,Is the word 'Interns' a noun or a pronoun?,"Noun, Pronoun",Noun
The accountant filed a complaint for sexual harassment.,Is the word 'accountant' a noun or a pronoun?,"Noun, Pronoun",Noun
The accountant filed a complaint for sexual harassment.,Is the word 'complaint' a noun or a pronoun?,"Noun, Pronoun",Noun
The accountant filed a complaint for sexual harassment.,Is the word 'harassment' a noun or a pronoun?,"Noun, Pronoun",Noun
The government does not manage to reduce inflation.,Is the word 'government' a noun or a pronoun?,"Noun, Pronoun",Noun
The government does not manage to reduce inflation.,Is the word 'inflation' a noun or a pronoun?,"Noun, Pronoun",Noun
The central bank has reduced its rates.,Is the word 'bank' a noun or a pronoun?,"Noun, Pronoun",Noun
The central bank has reduced its rates.,Is the word 'its' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The central bank has reduced its rates.,Is the word 'rates' a noun or a pronoun?,"Noun, Pronoun",Noun
"It is a one-way street, we cannot drive this way.",Is the word 'It' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"It is a one-way street, we cannot drive this way.",Is the word 'way' a noun or a pronoun?,"Noun, Pronoun",Noun
"It is a one-way street, we cannot drive this way.",Is the word 'street' a noun or a pronoun?,"Noun, Pronoun",Noun
"It is a one-way street, we cannot drive this way.",Is the word 'we' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"It is a one-way street, we cannot drive this way.",Is the word 'way' a noun or a pronoun?,"Noun, Pronoun",Noun
I lost myself in the alleys of Paris.,Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I lost myself in the alleys of Paris.,Is the word 'myself' a noun or a pronoun?,"Noun, Pronoun",Pronoun
I lost myself in the alleys of Paris.,Is the word 'alleys' a noun or a pronoun?,"Noun, Pronoun",Noun
The avenue is blocked by an accident.,Is the word 'avenue' a noun or a pronoun?,"Noun, Pronoun",Noun
The avenue is blocked by an accident.,Is the word 'accident' a noun or a pronoun?,"Noun, Pronoun",Noun
You should turn at the next traffic light.,Is the word 'You' a noun or a pronoun?,"Noun, Pronoun",Pronoun
You should turn at the next traffic light.,Is the word 'traffic' a noun or a pronoun?,"Noun, Pronoun",Noun
You should turn at the next traffic light.,Is the word 'light' a noun or a pronoun?,"Noun, Pronoun",Noun
The sidewalk is to be redone.,Is the word 'sidewalk' a noun or a pronoun?,"Noun, Pronoun",Noun
Use the pedestrian crossing rather than crossing the road.,Is the word 'pedestrian' a noun or a pronoun?,"Noun, Pronoun",Noun
Use the pedestrian crossing rather than crossing the road.,Is the word 'crossing' a noun or a pronoun?,"Noun, Pronoun",Noun
Use the pedestrian crossing rather than crossing the road.,Is the word 'road' a noun or a pronoun?,"Noun, Pronoun",Noun
"I am stuck in the traffic jam, I am going to be late.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"I am stuck in the traffic jam, I am going to be late.",Is the word 'traffic' a noun or a pronoun?,"Noun, Pronoun",Noun
"I am stuck in the traffic jam, I am going to be late.",Is the word 'jam' a noun or a pronoun?,"Noun, Pronoun",Noun
"I am stuck in the traffic jam, I am going to be late.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
There is a lot of traffic at night.,Is the word 'There' a noun or a pronoun?,"Noun, Pronoun",Pronoun
There is a lot of traffic at night.,Is the word 'lot' a noun or a pronoun?,"Noun, Pronoun",Noun
There is a lot of traffic at night.,Is the word 'traffic' a noun or a pronoun?,"Noun, Pronoun",Noun
There is a lot of traffic at night.,Is the word 'night' a noun or a pronoun?,"Noun, Pronoun",Noun
The building might collapse.,Is the word 'building' a noun or a pronoun?,"Noun, Pronoun",Noun
The restaurant is open until midnight.,Is the word 'restaurant' a noun or a pronoun?,"Noun, Pronoun",Noun
The restaurant is open until midnight.,Is the word 'midnight' a noun or a pronoun?,"Noun, Pronoun",Noun
The shop was closed because of the demonstrations.,Is the word 'shop' a noun or a pronoun?,"Noun, Pronoun",Noun
The shop was closed because of the demonstrations.,Is the word 'demonstrations' a noun or a pronoun?,"Noun, Pronoun",Noun
The sewers overflew once more.,Is the word 'sewers' a noun or a pronoun?,"Noun, Pronoun",Noun
The bookstore is closed during holidays.,Is the word 'bookstore' a noun or a pronoun?,"Noun, Pronoun",Noun
The bookstore is closed during holidays.,Is the word 'holidays' a noun or a pronoun?,"Noun, Pronoun",Noun
The baker's shop is at the corner of the street.,Is the word 'baker' a noun or a pronoun?,"Noun, Pronoun",Noun
The baker's shop is at the corner of the street.,Is the word 'shop' a noun or a pronoun?,"Noun, Pronoun",Noun
The baker's shop is at the corner of the street.,Is the word 'corner' a noun or a pronoun?,"Noun, Pronoun",Noun
The baker's shop is at the corner of the street.,Is the word 'street' a noun or a pronoun?,"Noun, Pronoun",Noun
He went to the butcher's shop.,Is the word 'He' a noun or a pronoun?,"Noun, Pronoun",Pronoun
He went to the butcher's shop.,Is the word 'butcher' a noun or a pronoun?,"Noun, Pronoun",Noun
He went to the butcher's shop.,Is the word 'shop' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you know if there is a duty chemist in the neighborhood?,Is the word 'you' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do you know if there is a duty chemist in the neighborhood?,Is the word 'there' a noun or a pronoun?,"Noun, Pronoun",Pronoun
Do you know if there is a duty chemist in the neighborhood?,Is the word 'duty' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you know if there is a duty chemist in the neighborhood?,Is the word 'chemist' a noun or a pronoun?,"Noun, Pronoun",Noun
Do you know if there is a duty chemist in the neighborhood?,Is the word 'neighborhood' a noun or a pronoun?,"Noun, Pronoun",Noun
The bank went bankrupt recently.,Is the word 'bank' a noun or a pronoun?,"Noun, Pronoun",Noun
People can catch nosocomial infections in hospitals.,Is the word 'People' a noun or a pronoun?,"Noun, Pronoun",Noun
People can catch nosocomial infections in hospitals.,Is the word 'infections' a noun or a pronoun?,"Noun, Pronoun",Noun
People can catch nosocomial infections in hospitals.,Is the word 'hospitals' a noun or a pronoun?,"Noun, Pronoun",Noun
The grocery could not compete with the hypermarket.,Is the word 'grocery' a noun or a pronoun?,"Noun, Pronoun",Noun
The grocery could not compete with the hypermarket.,Is the word 'hypermarket' a noun or a pronoun?,"Noun, Pronoun",Noun
"I am going to the market, I am coming back soon.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
"I am going to the market, I am coming back soon.",Is the word 'market' a noun or a pronoun?,"Noun, Pronoun",Noun
"I am going to the market, I am coming back soon.",Is the word 'I' a noun or a pronoun?,"Noun, Pronoun",Pronoun
The supermarket replaced all the small groceries.,Is the word 'supermarket' a noun or a pronoun?,"Noun, Pronoun",Noun
The supermarket replaced all the small groceries.,Is the word 'groceries' a noun or a pronoun?,"Noun, Pronoun",Noun
The crossroads was jammed for hours.,Is the word 'crossroads' a noun or a pronoun?,"Noun, Pronoun",Noun
The crossroads was jammed for hours.,Is the word 'hours' a noun or a pronoun?,"Noun, Pronoun",Noun
The train station was crowded that day.,Is the word 'train' a noun or a pronoun?,"Noun, Pronoun",Noun
The train station was crowded that day.,Is the word 'station' a noun or a pronoun?,"Noun, Pronoun",Noun
The train station was crowded that day.,Is the word 'day' a noun or a pronoun?,"Noun, Pronoun",Noun
They arranged to meet at the bus station.,Is the word 'They' a noun or a pronoun?,"Noun, Pronoun",Pronoun
They arranged to meet at the bus station.,Is the word 'bus' a noun or a pronoun?,"Noun, Pronoun",Noun
They arranged to meet at the bus station.,Is the word 'station' a noun or a pronoun?,"Noun, Pronoun",Noun
