Satz,Frage,Optionen,Richtige Antwort
"Das ist das letzte Mal, dass ich mit dem Bus verreise.",Welcher Fall wird für das Wort 'Bus' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Eine laute Explosion hat das Dorf geweckt.,Was ist das Geschlecht des Wortes 'Explosion'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Eine laute Explosion hat das Dorf geweckt.,Welcher Fall wird für das Wort 'Explosion' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Eine laute Explosion hat das Dorf geweckt.,Was ist das Geschlecht des Wortes 'Dorf'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Eine laute Explosion hat das Dorf geweckt.,Welcher Fall wird für das Wort 'Dorf' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er ist machtlos in dieser Situation.,Was ist das Geschlecht des Wortes 'Situation'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist machtlos in dieser Situation.,Welcher Fall wird für das Wort 'Situation' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Er hat vor die Prüfung zu bestehen. Das ist möglich, aber unwahrscheinlich.",Was ist das Geschlecht des Wortes 'Prüfung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Er hat vor die Prüfung zu bestehen. Das ist möglich, aber unwahrscheinlich.",Welcher Fall wird für das Wort 'Prüfung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Sein Erfolg ist wahrscheinlich.,Was ist das Geschlecht des Wortes 'Erfolg'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Sein Erfolg ist wahrscheinlich.,Welcher Fall wird für das Wort 'Erfolg' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Schwalben kehren in Zyklen zurück.,Was ist das Geschlecht des Wortes 'Schwalben'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Die Schwalben kehren in Zyklen zurück.,Welcher Fall wird für das Wort 'Schwalben' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Schwalben kehren in Zyklen zurück.,Was ist das Geschlecht des Wortes 'Zyklen'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Die Schwalben kehren in Zyklen zurück.,Welcher Fall wird für das Wort 'Zyklen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die Geduld ist eine wertvolle Gabe.,Was ist das Geschlecht des Wortes 'Geduld'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Geduld ist eine wertvolle Gabe.,Welcher Fall wird für das Wort 'Geduld' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Geduld ist eine wertvolle Gabe.,Was ist das Geschlecht des Wortes 'Gabe'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Geduld ist eine wertvolle Gabe.,Welcher Fall wird für das Wort 'Gabe' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Das ist Privatbesitz, Eintritt verboten.",Was ist das Geschlecht des Wortes 'Privatbesitz'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Das ist Privatbesitz, Eintritt verboten.",Welcher Fall wird für das Wort 'Privatbesitz' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Das ist Privatbesitz, Eintritt verboten.",Was ist das Geschlecht des Wortes 'Eintritt'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Das ist Privatbesitz, Eintritt verboten.",Welcher Fall wird für das Wort 'Eintritt' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Es ist verboten in öffentlichen Räumen zu rauchen.,Was ist das Geschlecht des Wortes 'Räumen'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Es ist verboten in öffentlichen Räumen zu rauchen.,Welcher Fall wird für das Wort 'Räumen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Ich bin mit sicher die Tür abgeschlossen zu haben.,Was ist das Geschlecht des Wortes 'Tür'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Ich bin mit sicher die Tür abgeschlossen zu haben.,Welcher Fall wird für das Wort 'Tür' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Was ist das Geschlecht des Wortes 'Sport'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Welcher Fall wird für das Wort 'Sport' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Was ist das Geschlecht des Wortes 'Früchte'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Welcher Fall wird für das Wort 'Früchte' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Was ist das Geschlecht des Wortes 'Sport'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Regelmäβiger Sport trägt mehr Früchte als sehr internsiver Sport.,Welcher Fall wird für das Wort 'Sport' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Dieses Haus ist ein wenig rustikal, aber man kommt klar.",Was ist das Geschlecht des Wortes 'Haus'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Dieses Haus ist ein wenig rustikal, aber man kommt klar.",Welcher Fall wird für das Wort 'Haus' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Niederlande sind ein flaches Land.,Was ist das Geschlecht des Wortes 'Land'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Die Niederlande sind ein flaches Land.,Welcher Fall wird für das Wort 'Land' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Ich bin nicht schlank genug für dieses Kleid.,Was ist das Geschlecht des Wortes 'Kleid'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Ich bin nicht schlank genug für dieses Kleid.,Welcher Fall wird für das Wort 'Kleid' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Diese Arbeit ist sehr ermüdend, ich werde bald wechseln.",Was ist das Geschlecht des Wortes 'Arbeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Diese Arbeit ist sehr ermüdend, ich werde bald wechseln.",Welcher Fall wird für das Wort 'Arbeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Dieses Kind ist einzigartig.,Was ist das Geschlecht des Wortes 'Kind'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Dieses Kind ist einzigartig.,Welcher Fall wird für das Wort 'Kind' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Sie hört extrem auf ihre weibliche Intuition.,Was ist das Geschlecht des Wortes 'Intuition'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Sie hört extrem auf ihre weibliche Intuition.,Welcher Fall wird für das Wort 'Intuition' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Das ist ein sehr maskulines Mädchen.,Was ist das Geschlecht des Wortes 'Mädchen'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Das ist ein sehr maskulines Mädchen.,Welcher Fall wird für das Wort 'Mädchen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Mutterliebe ist instinktiv.,Was ist das Geschlecht des Wortes 'Mutterliebe'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Mutterliebe ist instinktiv.,Welcher Fall wird für das Wort 'Mutterliebe' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er hat gerade einen absoluten Rekord gebrochen.,Was ist das Geschlecht des Wortes 'Rekord'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Er hat gerade einen absoluten Rekord gebrochen.,Welcher Fall wird für das Wort 'Rekord' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er ist bis zur Hochzeit jungfräulich geblieben.,Was ist das Geschlecht des Wortes 'Hochzeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist bis zur Hochzeit jungfräulich geblieben.,Welcher Fall wird für das Wort 'Hochzeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er führt ein gewöhnliches Leben.,Was ist das Geschlecht des Wortes 'Leben'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Er führt ein gewöhnliches Leben.,Welcher Fall wird für das Wort 'Leben' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Sie hat eine ungewöhnlich starke Fähigkeit alles zu vergessen.,Was ist das Geschlecht des Wortes 'Fähigkeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Sie hat eine ungewöhnlich starke Fähigkeit alles zu vergessen.,Welcher Fall wird für das Wort 'Fähigkeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er ist schnell nach seiner Arbeit gekommen,Was ist das Geschlecht des Wortes 'Arbeit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist schnell nach seiner Arbeit gekommen,Welcher Fall wird für das Wort 'Arbeit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Ganz plötzlich hat der Bus gebremst,Was ist das Geschlecht des Wortes 'Bus'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Ganz plötzlich hat der Bus gebremst,Welcher Fall wird für das Wort 'Bus' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Wir sind ziemlich beschäftigt in diesen Tagen.,Was ist das Geschlecht des Wortes 'Tagen'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Wir sind ziemlich beschäftigt in diesen Tagen.,Welcher Fall wird für das Wort 'Tagen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Er nimmt oft den Bus um zu kommen.,Was ist das Geschlecht des Wortes 'Bus'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Er nimmt oft den Bus um zu kommen.,Welcher Fall wird für das Wort 'Bus' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Man muss die Tür immer zweimal abschlieβen in diesem Viertel.,Was ist das Geschlecht des Wortes 'Tür'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Man muss die Tür immer zweimal abschlieβen in diesem Viertel.,Welcher Fall wird für das Wort 'Tür' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Man muss die Tür immer zweimal abschlieβen in diesem Viertel.,Was ist das Geschlecht des Wortes 'Viertel'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Man muss die Tür immer zweimal abschlieβen in diesem Viertel.,Welcher Fall wird für das Wort 'Viertel' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Wir sind nie in den Urlaub gefahren.,Was ist das Geschlecht des Wortes 'Urlaub'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Wir sind nie in den Urlaub gefahren.,Welcher Fall wird für das Wort 'Urlaub' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Ich gehe hin und wieder ins Kino.,Was ist das Geschlecht des Wortes 'Kino'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Ich gehe hin und wieder ins Kino.,Welcher Fall wird für das Wort 'Kino' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er ist viel gereist in seiner Kindheit.,Was ist das Geschlecht des Wortes 'Kindheit'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist viel gereist in seiner Kindheit.,Welcher Fall wird für das Wort 'Kindheit' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Sie arbeiten wenig, aber Sie verdienen viel Geld.",Was ist das Geschlecht des Wortes 'Geld'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Sie arbeiten wenig, aber Sie verdienen viel Geld.",Welcher Fall wird für das Wort 'Geld' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Allgemein gehen wir vor Mitternacht ins Bett.,Was ist das Geschlecht des Wortes 'Mitternacht'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Allgemein gehen wir vor Mitternacht ins Bett.,Welcher Fall wird für das Wort 'Mitternacht' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Allgemein gehen wir vor Mitternacht ins Bett.,Was ist das Geschlecht des Wortes 'Bett'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Allgemein gehen wir vor Mitternacht ins Bett.,Welcher Fall wird für das Wort 'Bett' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Ich bin gestern mit den Kindern in den Garten gegangen.,Was ist das Geschlecht des Wortes 'Kindern'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Ich bin gestern mit den Kindern in den Garten gegangen.,Welcher Fall wird für das Wort 'Kindern' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Ich bin gestern mit den Kindern in den Garten gegangen.,Was ist das Geschlecht des Wortes 'Garten'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Ich bin gestern mit den Kindern in den Garten gegangen.,Welcher Fall wird für das Wort 'Garten' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Heute habe ich nichts Besonderes zu tun.,Was ist das Geschlecht des Wortes 'Besonderes'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Heute habe ich nichts Besonderes zu tun.,Welcher Fall wird für das Wort 'Besonderes' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Mein Brief ist endlich angekommen.,Was ist das Geschlecht des Wortes 'Brief'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Mein Brief ist endlich angekommen.,Welcher Fall wird für das Wort 'Brief' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er wohnt weit vom Zentrum weg.,Was ist das Geschlecht des Wortes 'Zentrum'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Er wohnt weit vom Zentrum weg.,Welcher Fall wird für das Wort 'Zentrum' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Es ist in der Nähe von eurem Zuhause passiert.,Was ist das Geschlecht des Wortes 'Nähe'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Es ist in der Nähe von eurem Zuhause passiert.,Welcher Fall wird für das Wort 'Nähe' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Es ist in der Nähe von eurem Zuhause passiert.,Was ist das Geschlecht des Wortes 'Zuhause'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Es ist in der Nähe von eurem Zuhause passiert.,Welcher Fall wird für das Wort 'Zuhause' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Je mehr ich darüber nachdenke, desto zufriedener bin ich mit meiner Entscheidung.",Was ist das Geschlecht des Wortes 'Entscheidung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Je mehr ich darüber nachdenke, desto zufriedener bin ich mit meiner Entscheidung.",Welcher Fall wird für das Wort 'Entscheidung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Geh woanders lesen, die Kleine soll schlafen.",Was ist das Geschlecht des Wortes 'Kleine'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Geh woanders lesen, die Kleine soll schlafen.",Welcher Fall wird für das Wort 'Kleine' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Er hat sein Essen fast aufgegessen.,Was ist das Geschlecht des Wortes 'Essen'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Er hat sein Essen fast aufgegessen.,Welcher Fall wird für das Wort 'Essen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Sie gehen morgen zusammen ins Kino.,Was ist das Geschlecht des Wortes 'Kino'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Sie gehen morgen zusammen ins Kino.,Welcher Fall wird für das Wort 'Kino' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Der Hund ist hinter dem Haus begraben.,Was ist das Geschlecht des Wortes 'Hund'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Der Hund ist hinter dem Haus begraben.,Welcher Fall wird für das Wort 'Hund' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Der Hund ist hinter dem Haus begraben.,Was ist das Geschlecht des Wortes 'Haus'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Der Hund ist hinter dem Haus begraben.,Welcher Fall wird für das Wort 'Haus' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Er hat seine Jacke im Schrank gesucht, aber hat nicht daran gedacht da drauf zu suchen.",Was ist das Geschlecht des Wortes 'Jacke'?,"['maskulin', 'feminin', 'neutral']",['Fem']
"Er hat seine Jacke im Schrank gesucht, aber hat nicht daran gedacht da drauf zu suchen.",Welcher Fall wird für das Wort 'Jacke' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
"Er hat seine Jacke im Schrank gesucht, aber hat nicht daran gedacht da drauf zu suchen.",Was ist das Geschlecht des Wortes 'Schrank'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Er hat seine Jacke im Schrank gesucht, aber hat nicht daran gedacht da drauf zu suchen.",Welcher Fall wird für das Wort 'Schrank' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
"Mein Buch ist nicht mehr auf dem Tisch, es ist vielleicht da drunter.",Was ist das Geschlecht des Wortes 'Buch'?,"['maskulin', 'feminin', 'neutral']",['Neut']
"Mein Buch ist nicht mehr auf dem Tisch, es ist vielleicht da drunter.",Welcher Fall wird für das Wort 'Buch' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
"Mein Buch ist nicht mehr auf dem Tisch, es ist vielleicht da drunter.",Was ist das Geschlecht des Wortes 'Tisch'?,"['maskulin', 'feminin', 'neutral']",['Masc']
"Mein Buch ist nicht mehr auf dem Tisch, es ist vielleicht da drunter.",Welcher Fall wird für das Wort 'Tisch' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Lass die Katze nicht auf den Tisch.,Was ist das Geschlecht des Wortes 'Katze'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Lass die Katze nicht auf den Tisch.,Welcher Fall wird für das Wort 'Katze' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Lass die Katze nicht auf den Tisch.,Was ist das Geschlecht des Wortes 'Tisch'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Lass die Katze nicht auf den Tisch.,Welcher Fall wird für das Wort 'Tisch' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Was ist das Geschlecht des Wortes 'Bank'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Welcher Fall wird für das Wort 'Bank' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Was ist das Geschlecht des Wortes 'Apotheke'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Welcher Fall wird für das Wort 'Apotheke' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Was ist das Geschlecht des Wortes 'Bushaltestelle'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Bank ist zwischen der Apotheke und der Bushaltestelle.,Welcher Fall wird für das Wort 'Bushaltestelle' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Er ist eine Stunde vor der Aufführung angekommen.,Was ist das Geschlecht des Wortes 'Stunde'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist eine Stunde vor der Aufführung angekommen.,Welcher Fall wird für das Wort 'Stunde' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Er ist eine Stunde vor der Aufführung angekommen.,Was ist das Geschlecht des Wortes 'Aufführung'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Er ist eine Stunde vor der Aufführung angekommen.,Welcher Fall wird für das Wort 'Aufführung' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Dein Bruder kommt nach dem Essen vorbei.,Was ist das Geschlecht des Wortes 'Bruder'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Dein Bruder kommt nach dem Essen vorbei.,Welcher Fall wird für das Wort 'Bruder' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Dein Bruder kommt nach dem Essen vorbei.,Was ist das Geschlecht des Wortes 'Essen'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Dein Bruder kommt nach dem Essen vorbei.,Welcher Fall wird für das Wort 'Essen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Die Teller sind im Schrank neben den Gläsern.,Was ist das Geschlecht des Wortes 'Teller'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Die Teller sind im Schrank neben den Gläsern.,Welcher Fall wird für das Wort 'Teller' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Teller sind im Schrank neben den Gläsern.,Was ist das Geschlecht des Wortes 'Schrank'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Die Teller sind im Schrank neben den Gläsern.,Welcher Fall wird für das Wort 'Schrank' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Die Teller sind im Schrank neben den Gläsern.,Was ist das Geschlecht des Wortes 'Gläsern'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Die Teller sind im Schrank neben den Gläsern.,Welcher Fall wird für das Wort 'Gläsern' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Wir haben nur zwei Kinder.,Was ist das Geschlecht des Wortes 'Kinder'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Wir haben nur zwei Kinder.,Welcher Fall wird für das Wort 'Kinder' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Wollt ihr wirklich ins Kino?,Was ist das Geschlecht des Wortes 'Kino'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Wollt ihr wirklich ins Kino?,Welcher Fall wird für das Wort 'Kino' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die Schwämme sind unter der Spüle.,Was ist das Geschlecht des Wortes 'Schwämme'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Schwämme sind unter der Spüle.,Welcher Fall wird für das Wort 'Schwämme' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Schwämme sind unter der Spüle.,Was ist das Geschlecht des Wortes 'Spüle'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Schwämme sind unter der Spüle.,Welcher Fall wird für das Wort 'Spüle' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Was dein Studium angeht: wie sind deine Prüfungen gelaufen?,Was ist das Geschlecht des Wortes 'Studium'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Was dein Studium angeht: wie sind deine Prüfungen gelaufen?,Welcher Fall wird für das Wort 'Studium' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Was dein Studium angeht: wie sind deine Prüfungen gelaufen?,Was ist das Geschlecht des Wortes 'Prüfungen'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Was dein Studium angeht: wie sind deine Prüfungen gelaufen?,Welcher Fall wird für das Wort 'Prüfungen' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Was ist das Geschlecht des Wortes 'Kinder'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Welcher Fall wird für das Wort 'Kinder' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Was ist das Geschlecht des Wortes 'Spielzeuge'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Welcher Fall wird für das Wort 'Spielzeuge' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Was ist das Geschlecht des Wortes 'Kiste'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Kinder haben die Spielzeuge ausserhalb der Kiste gelassen,Welcher Fall wird für das Wort 'Kiste' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Gen']
Die Katze bleibt den ganzen Tag in dem Haus,Was ist das Geschlecht des Wortes 'Katze'?,"['maskulin', 'feminin', 'neutral']",['Fem']
Die Katze bleibt den ganzen Tag in dem Haus,Welcher Fall wird für das Wort 'Katze' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Die Katze bleibt den ganzen Tag in dem Haus,Was ist das Geschlecht des Wortes 'Tag'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Die Katze bleibt den ganzen Tag in dem Haus,Welcher Fall wird für das Wort 'Tag' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Acc']
Die Katze bleibt den ganzen Tag in dem Haus,Was ist das Geschlecht des Wortes 'Haus'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Die Katze bleibt den ganzen Tag in dem Haus,Welcher Fall wird für das Wort 'Haus' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Dat']
Die Kinder spielen draußen.,Was ist das Geschlecht des Wortes 'Kinder'?,"['maskulin', 'feminin', 'neutral']",['Neut']
Die Kinder spielen draußen.,Welcher Fall wird für das Wort 'Kinder' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
Der Reis ist in dem Kühlschrank,Was ist das Geschlecht des Wortes 'Reis'?,"['maskulin', 'feminin', 'neutral']",['Masc']
Der Reis ist in dem Kühlschrank,Welcher Fall wird für das Wort 'Reis' verwendet?,"['Nominativ', 'Genitiv', 'Dativ', 'Akkusativ']",['Nom']
