Exercise,Options,Answer
The consulate is closed on ______.,"weekends, weekend",weekends
The ______ offices closes at 4.30 p.m.,"post, posts",post
The post ______ closes at 4.30 p.m.,"offices, office",offices
The post offices closes at 4.30 ______,"p.m., p.m.s",p.m.
"Your ______ refuses to go to school, as usual.","son, sons",son
"Your son refuses to go to ______, as usual.","school, schools",school
I have little ______ of high school.,"memory, memories",memory
I have little memory of high ______.,"school, schools",school
"Like every ______, the university is on strike.","year, years",year
"Like every year, the ______ is on strike.","university, universities",university
"Like every year, the university is on ______.","strike, strikes",strike
Are we going to the ______ tonight?,"club, clubs",club
Are we going to the club ______?,"tonight, tonights",tonight
"______, all museums are open, let's make the most of it.","Tonight, Tonights",Tonight
"Tonight, all ______ are open, let's make the most of it.","museums, museum",museums
"Give me your ______ , I would like to write you a letter.","address, addresses",address
"Give me your address , I would like to write you a ______.","letter, letters",letter
______ are imposing.,"Skyscrappers, Skyscrapperss",Skyscrappers
The cemetary has been closed to the ______.,"public, publics",public
He paid her ______ for the cinema that evening.,"ticket, tickets",ticket
He paid her ticket for the ______ that evening.,"cinema, cinemas",cinema
He paid her ticket for the cinema that ______.,"evening, evenings",evening
We are going to the ______ with your brother tomorrow.,"theater, theaters",theater
We are going to the theater with your ______ tomorrow.,"brother, brothers",brother
We are going to the theater with your brother ______.,"tomorrow, tomorrows",tomorrow
The ______ opens only at 8 a.m.,"kiosk, kiosks",kiosk
They sat at the ______ of a café.,"terrace, terraces",terrace
They sat at the terrace of a ______.,"café, cafés",café
"Do not throw ______ into the gutter, there is a dust bin here.","papers, paper",papers
"Do not throw papers into the ______, there is a dust bin here.","gutter, gutters",gutter
"Do not throw papers into the gutter, there is a ______ bin here.","dust, dusts",dust
She tried to jump over the ______.,"fence, fences",fence
The ______ office is at the corner of this avenue and of the next street.,"post, posts",post
The post ______ is at the corner of this avenue and of the next street.,"office, offices",office
The post office is at the ______ of this avenue and of the next street.,"corner, corners",corner
The ______ is going to last for the entire summer.,"yard, yards",yard
The yard is going to last for the entire ______.,"summer, summers",summer
The ______ are going to last until september.,"workings, working",workings
The ______ is cut due to diluvian rains.,"road, roads",road
The road is cut due to diluvian ______.,"rains, rain",rains
A ______ broke out at the ninth floor.,"fire, fires",fire
A fire broke out at the ninth ______.,"floor, floors",floor
The ______ pool staff is on strike.,"swimming, swimmings",swimming
The swimming ______ staff is on strike.,"pool, pools",pool
The swimming pool ______ is on strike.,"staff, staffs",staff
This ______ shelters homeless people during wintertime.,"gymnasium, gymnasiums",gymnasium
This gymnasium ______ homeless people during wintertime.,"shelters, shelter",shelters
This gymnasium shelters homeless ______ during wintertime.,"people, peoples",people
They arranged to meet in ______ of the stadium.,"front, fronts",front
They arranged to meet in front of the ______.,"stadium, stadiums",stadium
The ______ is closed to public because of the snow.,"park, parks",park
The park is closed to ______ because of the snow.,"public, publics",public
The park is closed to public because of the ______.,"snow, snows",snow
It is forbidden to walk on the ______.,"mawn, mawns",mawn
The ______ was occupied by the workers this morning.,"factory, factories",factory
The factory was occupied by the ______ this morning.,"workers, worker",workers
The factory was occupied by the workers this ______.,"morning, mornings",morning
______ demonstrate against the construction of the waste management facility.,"Inhabitants, Inhabitantss",Inhabitants
Inhabitants demonstrate against the ______ of the waste management facility.,"construction, constructions",construction
Inhabitants demonstrate against the construction of the waste management ______.,"facility, facilities",facility
The ______ of the factory was deafening.,"noise, noises",noise
The noise of the ______ was deafening.,"factory, factories",factory
______ was cut due to an incident at the power plant.,"Power, Powers",Power
Power was cut due to an ______ at the power plant.,"incident, incidents",incident
Power was cut due to an incident at the ______ plant.,"power, powers",power
She went to the ______ this morning.,"hairdresser, hairdressers",hairdresser
She went to the hairdresser this ______.,"morning, mornings",morning
The ______-parlor is very convivial.,"beauty, beauties",beauty
The beauty-______ is very convivial.,"parlor, parlors",parlor
They have a ______ for manicures.,"subscription, subscriptions",subscription
They have a subscription for ______.,"manicures, manicure",manicures
She had a ______.,"pedicure, pedicures",pedicure
He is looking for his ______ under the floor lamp.,"keys, key",keys
He is looking for his keys under the ______ lamp.,"floor, floors",floor
He is looking for his keys under the floor ______.,"lamp, lamps",lamp
We cannot find a ______ in a nursery.,"spot, spots",spot
We cannot find a spot in a ______.,"nursery, nurseries",nursery
The ______ gathered almost a million people.,"demonstration, demonstrations",demonstration
The demonstration gathered almost a million ______.,"people, peoples",people
The ______ is even open on Sundays.,"library, libraries",library
No ______ indicated the direction to the village.,"guidepost, guideposts",guidepost
No guidepost indicated the ______ to the village.,"direction, directions",direction
No guidepost indicated the direction to the ______.,"village, villages",village
The ______ is infested with advertising boards.,"underground, undergrounds",underground
The underground is infested with ______ boards.,"advertising, advertisings",advertising
The underground is infested with advertising ______.,"boards, board",boards
They live in the ______ in a new tower.,"suburbs, suburb",suburbs
They live in the suburbs in a new ______.,"tower, towers",tower
There is no ______ life in this neighbourhood.,"night, nights",night
There is no night ______ in this neighbourhood.,"life, lives",life
There is no night life in this ______.,"neighbourhood, neighbourhoods",neighbourhood
We have to stay on the ______ until the next exit.,"highway, highways",highway
We have to stay on the highway until the next ______.,"exit, exits",exit
"Stop accelarating, there is a ______ hump 100 meters away.","road, roads",road
"Stop accelarating, there is a road ______ 100 meters away.","hump, humps",hump
"Stop accelarating, there is a road hump 100 ______ away.","meters, meter",meters
"This ______ has only one donjon left, towers and walls have disappeared.","castle, castles",castle
"This castle has only one ______ left, towers and walls have disappeared.","donjon, donjons",donjon
"This castle has only one donjon left, ______ and walls have disappeared.","towers, tower",towers
The wooden ______ has been taken away by the flood.,"bridge, bridges",bridge
The wooden bridge has been taken away by the ______.,"flood, floods",flood
We have to exit at the next ______ stop.,"bus, buses",bus
We have to exit at the next bus ______.,"stop, stops",stop
We go to the ______ from time to time.,"circus, circuses",circus
We go to the circus from ______ to ______.,"time, times",time
We go to the circus from ______ to ______.,"time, times",time
The ______ from this fountain smells of chlore.,"water, waters",water
The water from this ______ smells of chlore.,"fountain, fountains",fountain
The water from this fountain smells of ______.,"chlore, chlores",chlore
The ______ set up a statue in honor of the dictator.,"government, governments",government
The government set up a ______ in honor of the dictator.,"statue, statues",statue
The government set up a statue in ______ of the dictator.,"honor, honors",honor
A ______ memorial was set up on this public square.,"war, wars",war
A war ______ was set up on this public square.,"memorial, memorials",memorial
A war memorial was set up on this public ______.,"square, squares",square
I live in the ______ because downtown is too expensive.,"suburbs, suburb",suburbs
I live in the suburbs because ______ is too expensive.,"downtown, downtowns",downtown
The ______ is melting because of the heat.,"tar, tars",tar
The tar is melting because of the ______.,"heat, heats",heat
"This ______ is endless, especially when there is a traffic jam.","tunnel, tunnels",tunnel
"This tunnel is endless, especially when there is a ______ jam.","traffic, traffics",traffic
"This tunnel is endless, especially when there is a traffic ______.","jam, jams",jam
The ______ brought the kids to the zoo this morning.,"nany, nanies",nany
The nany brought the ______ to the zoo this morning.,"kids, kid",kids
The nany brought the kids to the ______ this morning.,"zoo, zoos",zoo
______ mills and water mills use a renewable energy.,"Wind, Winds",Wind
Wind ______ and water ______ use a renewable energy.,"mills, mill",mills
Wind mills and ______ mills use a renewable energy.,"water, waters",water
There are many ______ in the mall.,"people, peoples",people
There are many people in the ______.,"mall, malls",mall
This ______ shop is baking excellent cakes.,"pastry, pastries",pastry
This pastry ______ is baking excellent cakes.,"shop, shops",shop
This pastry shop is baking excellent ______.,"cakes, cake",cakes
A ______ was held up last night.,"jewelry, jewelries",jewelry
A jewelry was held up last ______.,"night, nights",night
There is a ______ in this shoe store.,"clearance, clearances",clearance
There is a clearance in this ______ store.,"shoe, shoes",shoe
There is a clearance in this shoe ______.,"store, stores",store
A new ______'s just opened in the neighbourhood.,"greengrocer, greengrocers",greengrocer
A new greengrocer's just opened in the ______.,"neighbourhood, neighbourhoods",neighbourhood
The ______ store has closed for good.,"fruit, fruits",fruit
The fruit ______ has closed for good.,"store, stores",store
The ______ agency was crowded due to the crisis.,"employment, employments",employment
The employment ______ was crowded due to the crisis.,"agency, agencies",agency
The employment agency was crowded due to the ______.,"crisis, crises",crisis
The ______ is clogged because of the tree leaves.,"gutter, gutters",gutter
The gutter is clogged because of the ______ leaves.,"tree, trees",tree
"It is a two ______ street, you can go ahead.","way, ways",way
"It is a two way ______, you can go ahead.","street, streets",street
"It is a one-______ street, you will get a fine.","way, ways",way
"It is a one-way ______, you will get a fine.","street, streets",street
"It is a one-way street, you will get a ______.","fine, fines",fine
"Be careful, there is a ______ right here.","hole, holes",hole
The ______ cannot drive too fast because of the potholes.,"driver, drivers",driver
The driver cannot drive too fast because of the ______.,"potholes, pothole",potholes
I want you to get away from the ______ of the platform.,"edge, edges",edge
I want you to get away from the edge of the ______.,"platform, platforms",platform
"Lower the ______, I cannot hear anything.","sound, sounds",sound
The ______ was blocked between two floors.,"elevator, elevators",elevator
The elevator was blocked between two ______.,"floors, floor",floors
The ______ is open for the whole day on Sundays.,"bookshop, bookshops",bookshop
The bookshop is open for the whole ______ on Sun______s.,"day, days",day
High ______ are closed because of the snow.,"schools, school",schools
High schools are closed because of the ______.,"snow, snows",snow
"Put on your ______, your hands are blue.","gloves, glove",gloves
"Put on your gloves, your ______ are blue.","hands, hand",hands
"It is starting to rain, put on your ______.","hood, hoods",hood
All of my ______'s jewelry has been stolen.,"stepmother, stepmothers",stepmother
All of my stepmother's ______ has been stolen.,"jewelry, jewelries",jewelry
She has a ______ ring and a tongue piercing.,"nose, noses",nose
She has a nose ______ and a tongue piercing.,"ring, rings",ring
She has a nose ring and a ______ piercing.,"tongue, tongues",tongue
I found you some very pretty ______.,"earrings, earring",earrings
He offered her a ______ for Christmas.,"bracelet, bracelets",bracelet
That ______ suits her very well.,"necklace, necklaces",necklace
He put some ______ before going out.,"perfume, perfumes",perfume
This ______ polish flakes off very quickly.,"nail, nails",nail
This nail ______ flakes off very quickly.,"polish, polishes",polish
She is putting on some ______.,"mascara, mascaras",mascara
Put your ______ on the hook.,"coat, coats",coat
Put your coat on the ______.,"hook, hooks",hook
I bought myself a ______ jacket.,"leather, leathers",leather
I bought myself a leather ______.,"jacket, jackets",jacket
Your ______ are drying.,"trousers, trousers",trousers
She collects ______.,"panties, panty",panties
Her ______ are unsuited – one of them is white and the other one is yellow.,"socks, sock",socks
Her socks are unsuited – ______ of them is white and the other ______ is yellow.,"one, ones",one
There is a black T-______ lying in the living room.,"shirt, shirts",shirt
There is a black T-shirt lying in the ______ room.,"living, livings",living
There is a black T-shirt lying in the living ______.,"room, rooms",room
I do not manage to find ______ in my size,"shoes, shoe",shoes
I do not manage to find shoes in my ______,"size, sizes",size
I took ______ in case it is raining.,"boots, boot",boots
I took boots in ______ it is raining.,"case, cases",case
We should buy some ______ powder,"washing, washings",washing
We should buy some washing ______,"powder, powders",powder
"I am about to do the ______, do you have something to wash?","washing, washings",washing
"We should replace the ______ machine, this one is too old.","washing, washings",washing
"We should replace the washing ______, this one is too old.","machine, machines",machine
"We should replace the washing machine, this ______ is too old.","one, ones",one
Could you go and hang out the ______ ?,"clothes, clothe",clothes
This ______ has been in the same family for three generations.,"laundry, laundries",laundry
This laundry has been in the same ______ for three generations.,"family, families",family
This laundry has been in the same family for three ______.,"generations, generation",generations
There is a ______ stain on your shirt.,"blood, bloods",blood
There is a blood ______ on your shirt.,"stain, stains",stain
There is a blood stain on your ______.,"shirt, shirts",shirt
It is ______ wool.,"sheep, sheep",sheep
It is sheep ______.,"wool, wools",wool
It is a ______ shirt.,"cotton, cottons",cotton
It is a cotton ______.,"shirt, shirts",shirt
Her ______ has been stolen in the street.,"handbag, handbags",handbag
Her handbag has been stolen in the ______.,"street, streets",street
The ______ is making hats.,"hatter, hatters",hatter
The hatter is making ______.,"hats, hat",hats
"You should clean your ______, they are dirty.","sunglasses, sunglass",sunglasses
"If I do not put my ______ on, I cannot see a thing.","glasses, glass",glasses
"If I do not put my glasses on, I cannot see a ______.","thing, things",thing
I wear ______ lenses.,"contact, contacts",contact
I wear contact ______.,"lenses, lense",lenses
Take your ______ just in case.,"umbrella, umbrellas",umbrella
Take your umbrella just in ______.,"case, cases",case
"The ______ was not waterproof, water was pouring in.","raincoat, raincoats",raincoat
"The raincoat was not ______proof, ______ was pouring in.","water, waters",water
She put on red ______.,"lipstick, lipsticks",lipstick
Her make-______ has run.,"up, ups",up
Your ______ came to the party wearing a dress.,"cousin, cousins",cousin
Your cousin came to the ______ wearing a dress.,"party, parties",party
Your cousin came to the party wearing a ______.,"dress, dresses",dress
______ are old-fashionned here.,"Skirts, Skirtss",Skirts
______ are fashionnable for women these days.,"Jeans, Jeanss",Jeans
Jeans are fashionnable for ______ these days.,"women, womens",women
Jeans are fashionnable for women these ______.,"days, day",days
There is a ______ of underpants left in the washing machine.,"pair, pairs",pair
There is a pair of ______ left in the washing machine.,"underpants, underpant",underpants
There is a pair of underpants left in the ______ machine.,"washing, washings",washing
He wore a ______ for his job interview.,"suit, suits",suit
He wore a suit for his ______ interview.,"job, jobs",job
He wore a suit for his job ______.,"interview, interviews",interview
The ______ blew his cap off.,"wind, winds",wind
The wind blew his ______ off.,"cap, caps",cap
They stole the ______ bathrobes.,"hotel, hotels",hotel
He wore a deep blue ______.,"tie, ties",tie
There is a ______ under the bed.,"bra, bras",bra
There is a bra under the ______.,"bed, beds",bed
Everybody wears ______ on this beach.,"bikinis, bikini",bikinis
Everybody wears bikinis on this ______.,"beach, beaches",beach
Do you have woolen ______?,"caps, cap",caps
Take a ______ or you might get a sore throat.,"scarf, scarves",scarf
Take a scarf or you might get a sore ______.,"throat, throats",throat
He is working in a ______ these days.,"farm, farms",farm
He is working in a farm these ______.,"days, day",days
The ______ poles have crashed down because of the windstorm.,"power, powers",power
The power ______ have crashed down because of the windstorm.,"poles, pole",poles
The power poles have crashed down because of the ______.,"windstorm, windstorms",windstorm
We want to put barbed ______ around our land.,"wire, wires",wire
We want to put barbed wire around our ______.,"land, lands",land
The ______ broke down.,"tractor, tractors",tractor
The ______ are grazing in the meadow.,"herds, herd",herds
The herds are grazing in the ______.,"meadow, meadows",meadow
The ______ share a combine harvester to lower the costs.,"farmers, farmer",farmers
The farmers share a ______ harvester to lower the costs.,"combine, combines",combine
The farmers share a combine ______ to lower the costs.,"harvester, harvesters",harvester
The ______ is ploughing.,"tractor, tractors",tractor
______ manure fertilizes the soil.,"Horse, Horses",Horse
Horse ______ fertilizes the soil.,"manure, manures",manure
Horse manure fertilizes the ______.,"soil, soils",soil
______ is spread on the fields after the harvest.,"Manure, Manures",Manure
Manure is spread on the ______ after the harvest.,"fields, field",fields
Manure is spread on the fields after the ______.,"harvest, harvests",harvest
You should take a ______ with you.,"machete, machetes",machete
______ represents a small part of the GDP.,"Agriculture, Agricultures",Agriculture
Agriculture represents a small ______ of the GDP.,"part, parts",part
______ have suffered a lot from the drought.,"Farmers, Farmerss",Farmers
Farmers have suffered a ______ from the drought.,"lot, lots",lot
Farmers have suffered a lot from the ______.,"drought, droughts",drought
A ______ who knows how to hunt have to know how to hunt without his dog.,"hunter, hunters",hunter
A hunter who knows how to hunt have to know how to hunt without his ______.,"dog, dogs",dog
I hate being woken up by the ______.,"cockrow, cockrows",cockrow
We are going to the ______ this weekend.,"countryside, countrysides",countryside
We are going to the countryside this ______.,"weekend, weekends",weekend
A ______ boat sunk because of the tempest.,"fishing, fishings",fishing
A fishing ______ sunk because of the tempest.,"boat, boats",boat
______ nets should be repaired.,"Fishing, Fishings",Fishing
Fishing ______ should be repaired.,"nets, net",nets
They live in an isolated ______.,"village, villages",village
There are ______ in the field.,"haystacks, haystack",haystacks
There are haystacks in the ______.,"field, fields",field
______ is his hobby.,"Gardening, Gardenings",Gardening
Gardening is his ______.,"hobby, hobbies",hobby
Gardening ______ is in crisis because of the drought.,"horticulture, horticultures",horticulture
Gardening horticulture is in ______ because of the drought.,"crisis, crises",crisis
Gardening horticulture is in crisis because of the ______.,"drought, droughts",drought
The ______ trees did not give anything this year.,"fruit, fruits",fruit
The fruit ______ did not give anything this year.,"trees, tree",trees
The fruit trees did not give anything this ______.,"year, years",year
______ are being devastated by aphids.,"Roses, Roseses",Roses
Roses are being devastated by ______.,"aphids, aphid",aphids
We sell tulip ______ here.,"bulbs, bulb",bulbs
The ______ of this region is hardly known.,"flora, floras",flora
The flora of this ______ is hardly known.,"region, regions",region
The ______ was killed by the hunter.,"duck, ducks",duck
The duck was killed by the ______.,"hunter, hunters",hunter
The billy goat is the ______ of the goat.,"male, males",male
The billy ______ is the male of the ______.,"goat, goats",goat
The ______ is the female of the horse.,"mare, mares",mare
The mare is the ______ of the horse.,"female, females",female
The mare is the female of the ______.,"horse, horses",horse
The ______ gallops clumsily.,"colt, colts",colt
This ______ was born by caesarean.,"calf, calves",calf
______ were released in the streets.,"Bulls, Bullss",Bulls
Bulls were released in the ______.,"streets, street",streets
A ______ has been killed for dinner.,"lamb, lambs",lamb
A lamb has been killed for ______.,"dinner, dinners",dinner
The ______ runs after its mother.,"kid, kids",kid
The kid runs after its ______.,"mother, mothers",mother
The ______ plays with the mouse its mother brought him.,"kitten, kittens",kitten
The kitten plays with the ______ its mother brought him.,"mouse, mice",mouse
The kitten plays with the mouse its ______ brought him.,"mother, mothers",mother
She had a ______ of five puppies.,"litter, litters",litter
She had a litter of five ______.,"puppies, puppy",puppies
"The ______ are running after their mother, cheeping.","chicks, chick",chicks
"The chicks are running after their ______, cheeping.","mother, mothers",mother
These ______ are giving a good milk.,"sheeps, sheep",sheeps
These sheeps are giving a good ______.,"milk, milks",milk
______ were sheared and we spined the wool.,"Muttons, Muttonss",Muttons
Muttons were sheared and we spined the ______.,"wool, wools",wool
"The ______ has to be walked, could you take care of it ?","dog, dogs",dog
"The dog has to be walked, could you take ______ of it ?","care, cares",care
He had his ______ castrated.,"cat, cats",cat
______ are peacefully grazing in the field.,"Cows, Cowss",Cows
Cows are peacefully grazing in the ______.,"field, fields",field
This ______ eats anything and everything.,"goat, goats",goat
The ______ is wallowing in the mud.,"pig, pigs",pig
The pig is wallowing in the ______.,"mud, muds",mud
The ______ kicked out before galloping away.,"horse, horses",horse
The ______ hollers.,"donkey, donkeys",donkey
The donkey ______.,"hollers, holler",hollers
The ______ is pecking seeds.,"hen, hens",hen
The hen is pecking ______.,"seeds, seed",seeds
Put another ______ into the fire.,"log, logs",log
Put another log into the ______.,"fire, fires",fire
The ______ is sleeping in its kennel.,"dog, dogs",dog
The dog is sleeping in its ______.,"kennel, kennels",kennel
A ______ managed to get into the hen house,"fox, foxes",fox
A fox managed to get into the hen ______,"house, houses",house
He does not take the ______ out of the stable.,"sheep, sheep",sheep
This ______ contains rye.,"bread, breads",bread
This bread contains ______.,"rye, ryes",rye
We had to buy some new ______ to sow maize this year.,"seeds, seed",seeds
We had to buy some new seeds to sow ______ this year.,"maize, maizes",maize
We had to buy some new seeds to sow maize this ______.,"year, years",year
We eat ______ for breakfast.,"cereals, cereal",cereals
We eat cereals for ______.,"breakfast, breakfasts",breakfast
These ______ grains are damaged by a fungus.,"wheat, wheats",wheat
These wheat ______ are damaged by a fungus.,"grains, grain",grains
These wheat grains are damaged by a ______.,"fungus, funguses",fungus
He spread ______ on his field.,"insecticides, insecticide",insecticides
He spread insecticides on his ______.,"field, fields",field
______ have contaminated groundwater.,"Pesticides, Pesticideses",Pesticides
Pesticides have contaminated ______.,"groundwater, groundwaters",groundwater
______ enable to get rid of weeds.,"Herbicides, Herbicideses",Herbicides
Herbicides enable to get rid of ______.,"weeds, weed",weeds
The ______ has been cut down for soy culture.,"forest, forests",forest
The forest has been cut down for ______ culture.,"soy, soys",soy
The forest has been cut down for soy ______.,"culture, cultures",culture
"Without ______, maize would never grow on these lands.","irrigation, irrigations",irrigation
"Without irrigation, ______ would never grow on these lands.","maize, maizes",maize
"Without irrigation, maize would never grow on these ______.","lands, land",lands
Five ______ were set up on this field.,"hives, hive",hives
Five hives were set up on this ______.,"field, fields",field
The ______ is full of dungs.,"pasture, pastures",pasture
The pasture is full of ______.,"dungs, dung",dungs
The ______ suckles its piglets.,"sow, sows",sow
The sow suckles its ______.,"piglets, piglet",piglets
The ______ landed on a wire,"swallows, swallow",swallows
The swallows landed on a ______,"wire, wires",wire
The ______ is a carnivore.,"weasel, weasels",weasel
The weasel is a ______.,"carnivore, carnivores",carnivore
Intensive ______ has led to the contamination of cultures.,"breeding, breedings",breeding
Intensive breeding has led to the ______ of cultures.,"contamination, contaminations",contamination
Intensive breeding has led to the contamination of ______.,"cultures, culture",cultures
"As the ______ approaches the slaughterhouse, it get nervous.","herd, herds",herd
"As the herd approaches the ______, it get nervous.","slaughterhouse, slaughterhouses",slaughterhouse
A ______ broke out in the grain silo.,"fire, fires",fire
A fire broke out in the ______ silo.,"grain, grains",grain
A fire broke out in the grain ______.,"silo, silos",silo
The ______ slept in a barn that night.,"traveller, travellers",traveller
The traveller slept in a ______ that night.,"barn, barns",barn
The traveller slept in a barn that ______.,"night, nights",night
The ______ draws water from the well.,"peasant, peasants",peasant
The peasant draws ______ from the well.,"water, waters",water
The peasant draws water from the ______.,"well, wells",well
He is carrying two ______ buckets.,"water, waters",water
He is carrying two water ______.,"buckets, bucket",buckets
We should uproot that ______.,"stump, stumps",stump
These are tulip ______.,"bulbs, bulb",bulbs
Florida ______ is an invasive species in Europe.,"turtle, turtles",turtle
Florida turtle is an invasive ______ in Europe.,"species, species",species
The ______ crisis is at the heart of the debates.,"biodiversity, biodiversities",biodiversity
The biodiversity ______ is at the heart of the debates.,"crisis, crises",crisis
The biodiversity crisis is at the ______ of the debates.,"heart, hearts",heart
"Last ______, population slightly increased.","year, years",year
"Last year, ______ slightly increased.","population, populations",population
The ______ risk of this species is real and it increases every day.,"extinction, extinctions",extinction
The extinction ______ of this species is real and it increases every day.,"risk, risks",risk
The extinction risk of this ______ is real and it increases every day.,"species, species",species
We are going through the sixth ______ extinction.,"mass, masses",mass
We are going through the sixth mass ______.,"extinction, extinctions",extinction
Poaching drove ______ gorillas to the verge of extinction.,"moutain, moutains",moutain
Poaching drove moutain ______ to the verge of extinction.,"gorillas, gorilla",gorillas
Poaching drove moutain gorillas to the ______ of extinction.,"verge, verges",verge
The ______ of resources should be sustainable.,"exploitation, exploitations",exploitation
The exploitation of ______ should be sustainable.,"resources, resource",resources
Deforestation grows at a worrying ______.,"pace, paces",pace
Habitat ______ is the main threat which hangs over this species.,"destruction, destructions",destruction
Habitat destruction is the main ______ which hangs over this species.,"threat, threats",threat
Habitat destruction is the main threat which hangs over this ______.,"species, species",species
Global ______ is a serious issue.,"warming, warmings",warming
Global warming is a serious ______.,"issue, issues",issue
The main ______ effect gas is carbon dioxyde.,"greenhouse, greenhouses",greenhouse
The main greenhouse ______ gas is carbon dioxyde.,"effect, effects",effect
The main greenhouse effect ______ is carbon dioxyde.,"gas, gases",gas
The ______ layer hole has almost been stabilized.,"ozone, ozones",ozone
The ozone ______ hole has almost been stabilized.,"layer, layers",layer
The ozone layer ______ has almost been stabilized.,"hole, holes",hole
______ dioxyde comes from fossil fuels.,"Carbon, Carbons",Carbon
Carbon ______ comes from fossil fuels.,"dioxyde, dioxydes",dioxyde
Carbon dioxyde comes from fossil ______.,"fuels, fuel",fuels
______ is leaking from the swamp.,"Methane, Methanes",Methane
Methane is leaking from the ______.,"swamp, swamps",swamp
Nitrates caused the ______ of green algae.,"growth, growths",growth
Nitrates caused the growth of green ______.,"algae, algaes",algae
Acid ______ destroyed vegetation.,"rain, rains",rain
Acid rain destroyed ______.,"vegetation, vegetations",vegetation
This NGO works for the ______ of endangered species.,"conservation, conservations",conservation
This NGO works for the conservation of endangered ______.,"species, species",species
Marine ______ are sensitive to water temperature.,"ecosystems, ecosystem",ecosystems
Marine ecosystems are sensitive to ______ temperature.,"water, waters",water
Marine ecosystems are sensitive to water ______.,"temperature, temperatures",temperature
Environmental ______ have become a priority.,"issues, issue",issues
Environmental issues have become a ______.,"priority, priorities",priority
______ is a recent science.,"Ecology, Ecologys",Ecology
Ecology is a recent ______.,"science, sciences",science
______ are struggling to establish themselves politically,"Ecologists, Ecologistss",Ecologists
______ effect is a natural phenomenon amplified by human activity.,"Greenhouse, Greenhouses",Greenhouse
Greenhouse ______ is a natural phenomenon amplified by human activity.,"effect, effects",effect
Greenhouse effect is a natural ______ amplified by human activity.,"phenomenon, phenomena",phenomenon
Sustainable ______ is the challenge of this new millenium.,"development, developments",development
Sustainable development is the ______ of this new millenium.,"challenge, challenges",challenge
Sustainable development is the challenge of this new ______.,"millenium, milleniums",millenium
Solar ______ is a renewable.,"energy, energies",energy
Solar energy is a ______.,"renewable, renewables",renewable
______ is a ressource which is more and more precious.,"Energy, Energys",Energy
Energy is a ______ which is more and more precious.,"ressource, ressources",ressource
______ mills seldom work at the top of their abilities.,"Wind, Winds",Wind
Wind ______ seldom work at the top of their abilities.,"mills, mill",mills
Wind mills seldom work at the ______ of their abilities.,"top, tops",top
Local ______ demonstrate against the construction of the new dam.,"populations, population",populations
Local populations demonstrate against the ______ of the new dam.,"construction, constructions",construction
Local populations demonstrate against the construction of the new ______.,"dam, dams",dam
He made a ______ put a solar panel on his roof.,"company, companies",company
He made a company put a solar ______ on his roof.,"panel, panels",panel
He made a company put a solar panel on his ______.,"roof, roofs",roof
There is no ______ recycling in this city yet.,"glass, glasses",glass
There is no glass ______ in this city yet.,"recycling, recyclings",recycling
There is no glass recycling in this ______ yet.,"city, cities",city
The ______ unveiled a large project of reforestation.,"government, governments",government
The government unveiled a large ______ of reforestation.,"project, projects",project
The government unveiled a large project of ______.,"reforestation, reforestations",reforestation
"It is a protected ______, hunting is forbidden there.","area, areas",area
"It is a protected area, ______ is forbidden there.","hunting, huntings",hunting
______ have finally exhausted fish stocks.,"Overfishing, Overfishings",Overfishing
Over______ing have finally exhausted ______ stocks.,"fish, fish",fish
Overfishing have finally exhausted fish ______.,"stocks, stock",stocks
An ______ have been built to incinerate waste.,"incinerator, incinerators",incinerator
An incinerator have been built to incinerate ______.,"waste, wastes",waste
Uranium ______ has been multiplied by ten in less than five years.,"price, prices",price
Uranium price has been multiplied by ten in less than five ______.,"years, year",years
Nuclear ______ is at the heart of the nuclear debate.,"waste, wastes",waste
Nuclear waste is at the ______ of the nuclear debate.,"heart, hearts",heart
Nuclear waste is at the heart of the nuclear ______.,"debate, debates",debate
Nuclear ______ treatment is a risky process.,"waste, wastes",waste
Nuclear waste ______ is a risky process.,"treatment, treatments",treatment
Nuclear waste treatment is a risky ______.,"process, processes",process
______ are directly pouring out into the river.,"Wastewater, Wastewaters",Wastewater
Wastewater are directly pouring out into the ______.,"river, rivers",river
______ reached historical levels due to the heat wave.,"Pollution, Pollutions",Pollution
Pollution reached historical ______ due to the heat wave.,"levels, level",levels
Pollution reached historical levels due to the ______ wave.,"heat, heats",heat
An ______ occurred in a nuclear power plant.,"incident, incidents",incident
An incident occurred in a nuclear ______ plant.,"power, powers",power
An incident occurred in a nuclear power ______.,"plant, plants",plant
______ have been authorized despite the opposition of the population.,"GMOs, GMOss",GMOs
GMOs have been authorized despite the ______ of the population.,"opposition, oppositions",opposition
GMOs have been authorized despite the opposition of the ______.,"population, populations",population
The ______ contamination could not be prevented.,"river, rivers",river
The river ______ could not be prevented.,"contamination, contaminations",contamination
______ decontamination will take years.,"Soil, Soils",Soil
Soil ______ will take years.,"decontamination, decontaminations",decontamination
Soil decontamination will take ______.,"years, year",years
The ______ of the swamp enabled to save the species.,"restauration, restaurations",restauration
The restauration of the ______ enabled to save the species.,"swamp, swamps",swamp
The restauration of the swamp enabled to save the ______.,"species, species",species
______ reintroduction is in jeopardy due to poaching.,"Species, Species",Species
Species ______ is in jeopardy due to poaching.,"reintroduction, reintroductions",reintroduction
Species reintroduction is in ______ due to poaching.,"jeopardy, jeopardies",jeopardy
She wants to take ______ in the beach cleaning.,"part, parts",part
